req,Num
POST /online/charm,19997914
GET /notify/unread,225373
GET /user/space,98271
GET /content/dovebox/list,18280
GET /accountInfo/find_users,53473
GET /content/view,66542
GET /present/list,2732
GET /music/list,51271
GET /accountInfo/get_role_list,11125
GET /user/money,894
GET /present/logs,1552
POST /user/uploadavatar,417
GET /orga/list,30
GET /chatRoom/list,4094
GET /cs/list,4032
GET /friend/get,2708
GET /user/profile,2263
POST /present/give,2526
POST /accountInfo/save_info,564
POST /accountManager/login,1985
GET /accountInfo/get,2120
GET /present/account_presents,2895
GET /friend/getOnlineFriends,1628
POST /user/setting,1350
GET /accountInfo/charm_inc_ranks,1262
POST /content/dovebox/post,498
GET /present/view,202
POST /file/upload,334
POST /inner/manage/content/block,28
GET /online/charm,44
GET /present/check_presents,485
POST /content/share/charm,963
POST /friend/handle,315
POST /cs/sendMessage,608
GET /inner/manage/content/list,321
POST /cs/sendblock,29
HEAD /1401420498jtun_irev140529019.7z,8
GET /accountInfo/charm_list,50
GET /1401420498jtun_irev140529019.7z,9
POST /friend/add,29
POST /content/hotspot,15
GET /inner/manage/user/search_user,15
POST /inner/manage/user/change_avatar,14
POST /inner/manage/user/block,57
GET /inner/manage/user/get_users,20
GET /friend/requests,24
GET /,13
POST http://api.nyx.l99.com/online/charm,1
GET /files/%1c%ec%04%08%b8%97l2%86%11c%86%aa%5e%24A%1bUE%b3/svdvd403.rmvb,1
POST /accountInfo/update_user_favor,1
POST //online/charm,17
GET http://api.nyx.l99.com/notify/unread,809
GET /accountinfo/find_users,1
POST /accountManager/get_login_confirm,1
