date,Num
20140531_00:00,16343
20140531_00:01,17321
20140531_00:02,17274
20140531_00:03,17723
20140531_00:04,17456
20140531_00:05,17242
20140531_00:06,17301
20140531_00:07,17094
20140531_00:08,17247
20140531_00:09,17372
20140531_00:10,17428
20140531_00:11,17827
20140531_00:12,18248
20140531_00:13,18157
20140531_00:14,17918
20140531_00:15,18191
20140531_00:16,17835
20140531_00:17,18237
20140531_00:18,17973
20140531_00:19,18085
20140531_00:20,18142
20140531_00:21,18016
20140531_00:22,18038
20140531_00:23,18175
20140531_00:24,17951
20140531_00:25,18024
20140531_00:26,17931
20140531_00:27,17957
20140531_00:28,18298
20140531_00:29,18374
20140531_00:30,18180
20140531_00:31,18054
20140531_00:32,18330
20140531_00:33,18522
20140531_00:34,18500
20140531_00:35,18481
20140531_00:36,18573
20140531_00:37,18956
20140531_00:38,18860
20140531_00:39,18824
20140531_00:40,19325
20140531_00:41,18885
20140531_00:42,18645
20140531_00:43,18914
20140531_00:44,18669
20140531_00:45,19081
20140531_00:46,19593
20140531_00:47,19132
20140531_00:48,19024
20140531_00:49,18959
20140531_00:50,18928
20140531_00:51,19027
20140531_00:52,19446
20140531_00:53,19707
20140531_00:54,19727
20140531_00:55,19843
20140531_00:56,20044
20140531_00:57,19873
20140531_00:58,19429
20140531_00:59,19868
20140531_01:00,20158
20140531_01:01,19467
20140531_01:02,19809
20140531_01:03,19927
20140531_01:04,19953
20140531_01:05,19920
20140531_01:06,19696
20140531_01:07,19712
20140531_01:08,19716
20140531_01:09,19785
20140531_01:10,19836
20140531_01:11,19851
20140531_01:12,19572
20140531_01:13,19523
20140531_01:14,19593
20140531_01:15,19559
20140531_01:16,19911
20140531_01:17,20166
20140531_01:18,20108
20140531_01:19,20051
20140531_01:20,20051
20140531_01:21,20254
20140531_01:22,20482
20140531_01:23,21291
20140531_01:24,20313
20140531_01:25,20738
20140531_01:26,20477
20140531_01:27,20931
20140531_01:28,21431
20140531_01:29,21344
20140531_01:30,21677
20140531_01:31,21651
20140531_01:32,22052
20140531_01:33,21916
20140531_01:34,21821
20140531_01:35,21563
20140531_01:36,21427
20140531_01:37,21154
20140531_01:38,21407
20140531_01:39,21743
20140531_01:40,21785
20140531_01:41,21418
20140531_01:42,21295
20140531_01:43,21710
20140531_01:44,21429
20140531_01:45,21171
20140531_01:46,21252
20140531_01:47,21017
20140531_01:48,21508
20140531_01:49,21607
20140531_01:50,21454
20140531_01:51,21081
20140531_01:52,21435
20140531_01:53,21508
20140531_01:54,21256
20140531_01:55,21329
20140531_01:56,21057
20140531_01:57,21421
20140531_01:58,21651
20140531_01:59,21605
20140531_02:00,21613
20140531_02:01,21712
20140531_02:02,21714
20140531_02:03,21736
20140531_02:04,21874
20140531_02:05,22040
20140531_02:06,21702
20140531_02:07,21701
20140531_02:08,21558
20140531_02:09,21218
20140531_02:10,21288
20140531_02:11,21201
20140531_02:12,21502
20140531_02:13,21726
20140531_02:14,21545
20140531_02:15,21705
20140531_02:16,21992
20140531_02:17,22490
20140531_02:18,22362
20140531_02:19,22391
20140531_02:20,22258
20140531_02:21,22543
20140531_02:22,22474
20140531_02:23,22154
20140531_02:24,22041
20140531_02:25,22005
20140531_02:26,22075
20140531_02:27,22024
20140531_02:28,22395
