req,Num
GET /content/dovebox/list,404734
GET /notify/unread,445151
GET /present/view,5132
GET /user/space,382446
GET /content/view,118270
GET /accountInfo/charm_inc_ranks,20725
GET /music/list,81059
GET /accountInfo/find_users,129258
GET /accountInfo/get_role_list,39786
GET /present/account_presents,8534
POST /present/give,9911
GET /present/list,11234
GET /chatRoom/list,16887
GET /present/check_presents,1148
GET /friend/get,7008
POST /user/setting,7724
GET /inner/manage/user/search_user,13
GET /accountInfo/get,4167
GET /inner/manage/user/get_users,17
GET /cs/list,6941
POST /user/uploadavatar,1740
GET /user/profile,7657
GET /friend/getOnlineFriends,3113
POST /accountManager/login,6248
POST /file/upload,1543
POST /inner/manage/user/change_avatar,12
POST /content/dovebox/post,948
POST /friend/handle,724
POST /accountInfo/save_info,4830
POST /cs/sendMessage,548
GET /friend/requests,38
GET /accountInfo/charm_list,102
POST /online/charm,3718
GET /inner/manage/content/list,421
POST /friend/add,28
POST /inner/manage/content/block,59
POST /cs/sendblock,71
POST /inner/manage/user/block,60
GET /orga/list,66
POST /content/hotspot,24
GET /present/give,2
GET /,9
POST /file/uploadFile,22
POST /accountManager/get_login_confirm,13
GET /blacklist/get,3
GET /template/get_templates,1
POST /accountInfo/update_user_favor,4
GET /user/money,6
GET /inner/robot/list,1
GET /accountinfo/get,2
HEAD /content/dovebox/list,1
GET /accountinfo/find_users,1
POST /,3
GET /robots.txt,2
GET /accountInfo/manage/get_register_count,6
GET /accountInfo/manage/get_local_user_count,5
POST /friend/delete,3
GET /accountinfo/manage/get_register_count,2
GET /inner/manage/count/user,1
GET /present/logs,2
