req,Num
POST /online/charm,7582145
GET /rec/list,96258
GET /accountInfo/get_role_list,67130
GET /chatRoom/list,15853
GET /music/list,99449
GET /user/space,424618
GET /accountInfo/find_users,320652
POST /accountManager/login,10531
GET /notify/unread,594895
GET /content/view,196765
GET /friend/get,9141
POST /comment/like,19034
POST /user/uploadavatar,3398
GET /cs/list,4415
POST /file/upload,1187
POST /content/dovebox/post,2303
POST /comment/send,6052
GET /present/account_presents,13734
GET /inner/manage/content/list,790
GET /accountInfo/get,1477
GET /present/logs,9552
POST /present/give,14730
GET /present/list,16694
GET /content/dovebox/list,9661
POST /content/share/charm,1327
GET http://api.nyx.l99.com/notify/unread,2661
POST /user/setting,9565
POST /cs/sendblock,92
POST /accountInfo/save_info,8507
GET /user/money,6018
GET /user/profile,12698
POST /comment/reply,2071
GET /accountInfo/charm_inc_ranks,1037
GET /friend/getOnlineFriends,1690
POST /cs/sendMessage,675
GET /user/longbi_log,1217
GET /inner/manage/user/get_users,48
GET /inner/manage/user/search_user,38
GET /present/check_presents,1899
GET /rec/types,4030
GET /present/view,97
POST /inner/manage/content/block,124
POST /rec/apply,503
GET /online/charm,64
POST /friend/handle,1050
GET /accountInfo/charm_list,53
GET /accountinfo/find_users,21
POST http://api.nyx.l99.com/online/charm,21
POST /inner/manage/user/change_avatar,36
POST /friend/add,18
POST /content/hotspot,17
GET /accountInfo/save_info,1
GET /user/uploadavatar,5
GET /,8
GET /chatroom/list,1
GET /orga/list,26
GET /friend/requests,33
POST /inner/manage/user/block,87
POST /inner/rec/info,26
POST /inner/rec/confirm_apply,3
GET /user/setting,3
GET /accountinfo/get_role_list,4
GET /inner/manage/count/content,7
GET /inner/chatRoom/view,1
GET /inner/manage/count/accurate_user_sts,1
POST /inner/rec/recommend_user,1
GET /accountManager/login,1
POST /inner/manage/user/delete,1
POST /accountManager/get_login_confirm,1
GET /blacklist/get,1
