req,Num
POST /online/charm,4744295
GET /content/view,123763
GET /user/space,196326
GET /rec/list,39327
GET /notify/unread,337337
POST /rec/apply,141
GET /music/list,61532
GET /accountInfo/find_users,134377
GET /accountInfo/get_role_list,26810
POST /present/give,5438
POST /accountManager/login,4001
POST /comment/send,3560
POST /comment/reply,1472
GET /content/dovebox/list,5414
POST /cs/sendMessage,777
GET /present/list,6340
GET /present/account_presents,6738
POST /content/dovebox/post,1303
POST /comment/like,10982
POST /file/upload,763
GET /present/check_presents,1376
POST /friend/handle,720
GET /chatRoom/list,6924
GET /user/profile,5088
POST /accountInfo/save_info,2464
GET /friend/get,5304
GET /friend/getOnlineFriends,2838
GET /present/logs,3745
GET /cs/list,5958
GET /user/longbi_log,374
GET /accountInfo/charm_inc_ranks,693
GET /inner/manage/content/list,686
GET http://api.nyx.l99.com/notify/unread,3486
GET /user/money,2167
POST /user/uploadavatar,1190
GET /present/view,84
POST /user/setting,3200
GET /rec/types,1307
GET /accountInfo/get,1668
POST /content/share/charm,1178
POST /inner/manage/content/block,63
POST /cs/sendblock,74
GET /accountInfo/charm_list,31
POST /content/hotspot,20
GET /inner/manage/user/search_user,32
POST /inner/manage/user/change_avatar,61
GET /inner/manage/user/get_users,48
POST /friend/add,27
POST /inner/manage/user/block,93
GET /friend/requests,72
GET /orga/list,18
GET /,13
HEAD /notify/unread,1
POST /file/uploadFile,11
POST /inner/rec/info,13
POST /inner/rec/confirm_apply,1
POST /accountManager/get_login_confirm,4
POST /inner/rec/recommend_user,11
POST /file/roi_upload,2
GET /user/setting,3
GET /comment/send,2
GET /inner/manage/count/content,2
GET /inner/robot/list,1
GET /online/charm,25
GET /present/give,1
POST /inner/rec/refuse_apply,1
GET /accountinfo/find_users,16
GET /accountinfo/get_role_list,1
GET /comment/like,1
