date,Num
20140608_00:00,16293
20140608_00:01,17582
20140608_00:02,17801
20140608_00:03,16070
20140608_00:04,15670
20140608_00:05,15884
20140608_00:06,16349
20140608_00:07,15754
20140608_00:08,16241
20140608_00:09,16081
20140608_00:10,16096
20140608_00:11,15922
20140608_00:12,15393
20140608_00:13,15661
20140608_00:14,15458
20140608_00:15,15829
20140608_00:16,16993
20140608_00:17,15782
20140608_00:18,16102
20140608_00:19,15970
20140608_00:20,16171
20140608_00:21,16503
20140608_00:22,15321
20140608_00:23,15300
20140608_00:24,15434
20140608_00:25,16127
20140608_00:26,16228
20140608_00:27,15567
20140608_00:28,16003
20140608_00:29,15983
20140608_00:30,16351
20140608_00:31,17020
20140608_00:32,16840
20140608_00:33,15115
20140608_00:34,15427
20140608_00:35,15435
20140608_00:36,15550
20140608_00:37,15504
20140608_00:38,16021
20140608_00:39,15986
20140608_00:40,16204
20140608_00:41,16058
20140608_00:42,15793
20140608_00:43,15357
20140608_00:44,15820
20140608_00:45,15992
20140608_00:46,15748
20140608_00:47,15363
20140608_00:48,15416
20140608_00:49,15430
20140608_00:50,15464
20140608_00:51,15700
20140608_00:52,15031
20140608_00:53,15307
20140608_00:54,15267
20140608_00:55,15300
20140608_00:56,15877
20140608_00:57,15021
20140608_00:58,14927
20140608_00:59,14629
20140608_01:00,15418
20140608_01:01,16059
20140608_01:02,16219
20140608_01:03,15254
20140608_01:04,14376
20140608_01:05,15213
20140608_01:06,15233
20140608_01:07,15027
20140608_01:08,14886
20140608_01:09,14850
20140608_01:10,15133
20140608_01:11,15140
20140608_01:12,14355
20140608_01:13,14270
20140608_01:14,14151
20140608_01:15,14492
20140608_01:16,15144
20140608_01:17,14180
20140608_01:18,14463
20140608_01:19,14694
20140608_01:20,14830
20140608_01:21,15220
20140608_01:22,14735
20140608_01:23,15006
20140608_01:24,14950
20140608_01:25,14707
20140608_01:26,14984
20140608_01:27,14826
20140608_01:28,14588
20140608_01:29,14511
20140608_01:30,15856
20140608_01:31,15504
20140608_01:32,15819
20140608_01:33,14509
20140608_01:34,14287
20140608_01:35,14400
20140608_01:36,14549
20140608_01:37,14051
20140608_01:38,14326
20140608_01:39,14734
20140608_01:40,15071
20140608_01:41,15634
20140608_01:42,14569
20140608_01:43,14762
20140608_01:44,15211
20140608_01:45,14928
20140608_01:46,15406
20140608_01:47,14928
20140608_01:48,15208
20140608_01:49,15093
20140608_01:50,14859
20140608_01:51,14810
20140608_01:52,14724
20140608_01:53,14829
20140608_01:54,15458
20140608_01:55,15846
20140608_01:56,15666
20140608_01:57,14782
20140608_01:58,14860
20140608_01:59,15276
20140608_02:00,15255
20140608_02:01,17331
20140608_02:02,15895
20140608_02:03,14451
20140608_02:04,14755
20140608_02:05,14759
20140608_02:06,14725
20140608_02:07,14315
20140608_02:08,14179
20140608_02:09,14348
20140608_02:10,14631
20140608_02:11,14985
20140608_02:12,13951
20140608_02:13,13879
20140608_02:14,13984
20140608_02:15,13972
20140608_02:16,14622
20140608_02:17,13973
20140608_02:18,14543
20140608_02:19,14113
20140608_02:20,14974
20140608_02:21,15005
20140608_02:22,14026
20140608_02:23,14003
20140608_02:24,13903
20140608_02:25,14149
20140608_02:26,14912
20140608_02:27,13803
20140608_02:28,14035
20140608_02:29,13980
20140608_02:30,14915
20140608_02:31,14134
20140608_02:32,15634
20140608_02:33,13897
20140608_02:34,13741
20140608_02:35,14288
20140608_02:36,15211
20140608_02:37,13975
20140608_02:38,14165
20140608_02:39,14239
20140608_02:40,14250
20140608_02:41,15121
20140608_02:42,14129
20140608_02:43,14092
20140608_02:44,13958
20140608_02:45,14050
20140608_02:46,14147
20140608_02:47,13941
20140608_02:48,14172
20140608_02:49,14986
20140608_02:50,14686
20140608_02:51,14431
20140608_02:52,13950
20140608_02:53,14193
20140608_02:54,13529
20140608_02:55,14085
20140608_02:56,14918
20140608_02:57,14065
20140608_02:58,14429
20140608_02:59,14560
20140608_03:00,14018
20140608_03:01,15444
20140608_03:02,14272
20140608_03:03,13955
20140608_03:04,13627
20140608_03:05,14377
20140608_03:06,14793
20140608_03:07,13278
20140608_03:08,13640
20140608_03:09,14412
20140608_03:10,14165
20140608_03:11,14484
20140608_03:12,13849
20140608_03:13,14599
20140608_03:14,14971
20140608_03:15,13709
20140608_03:16,14714
20140608_03:17,13905
20140608_03:18,13271
20140608_03:19,13677
20140608_03:20,13260
20140608_03:21,13939
20140608_03:22,13310
20140608_03:23,13544
20140608_03:24,13819
20140608_03:25,13840
20140608_03:26,13980
20140608_03:27,13438
20140608_03:28,13737
20140608_03:29,14378
20140608_03:30,14365
20140608_03:31,14387
20140608_03:32,15681
20140608_03:33,14319
20140608_03:34,14197
20140608_03:35,13994
20140608_03:36,14379
20140608_03:37,14016
20140608_03:38,13734
20140608_03:39,13477
20140608_03:40,14282
20140608_03:41,15756
20140608_03:42,13641
20140608_03:43,17281
20140608_03:44,15996
20140608_03:45,16180
20140608_03:46,15479
20140608_03:47,14542
20140608_03:48,14041
20140608_03:49,13620
20140608_03:50,13862
20140608_03:51,15052
20140608_03:52,14026
20140608_03:53,14414
20140608_03:54,13938
20140608_03:55,13780
20140608_03:56,14464
20140608_03:57,13822
20140608_03:58,13467
20140608_03:59,15558
20140608_04:00,14046
20140608_04:01,14206
20140608_04:02,13303
20140608_04:03,16530
20140608_04:04,13516
20140608_04:05,13762
20140608_04:06,13542
20140608_04:07,14302
20140608_04:08,15208
20140608_04:09,15039
20140608_04:10,15586
20140608_04:11,13356
20140608_04:12,16168
20140608_04:13,13912
20140608_04:14,15620
20140608_04:15,14066
20140608_04:16,14454
20140608_04:17,13525
20140608_04:18,13368
20140608_04:19,12935
20140608_04:20,13766
20140608_04:21,13932
20140608_04:22,13837
20140608_04:23,13987
20140608_04:24,13243
20140608_04:25,13403
20140608_04:26,13272
20140608_04:27,13048
20140608_04:28,13268
20140608_04:29,13368
20140608_04:30,14182
20140608_04:31,15170
20140608_04:32,14545
20140608_04:33,13118
20140608_04:34,12890
20140608_04:35,14227
20140608_04:36,13392
20140608_04:37,12574
20140608_04:38,12870
20140608_04:39,12890
20140608_04:40,12755
20140608_04:41,13262
20140608_04:42,12810
20140608_04:43,12788
20140608_04:44,12776
20140608_04:45,12651
20140608_04:46,13100
20140608_04:47,12699
20140608_04:48,12772
20140608_04:49,12848
20140608_04:50,13102
20140608_04:51,13041
20140608_04:52,12565
20140608_04:53,12899
20140608_04:54,12793
20140608_04:55,13065
20140608_04:56,13755
20140608_04:57,12957
20140608_04:58,13015
20140608_04:59,12955
20140608_05:00,14677
20140608_05:01,14024
20140608_05:02,13598
20140608_05:03,12793
20140608_05:04,13175
20140608_05:05,13048
20140608_05:06,13393
20140608_05:07,12675
20140608_05:08,12825
20140608_05:09,12763
20140608_05:10,12665
20140608_05:11,13373
20140608_05:12,12798
20140608_05:13,13283
20140608_05:14,12942
20140608_05:15,13233
20140608_05:16,13151
20140608_05:17,12375
20140608_05:18,13039
20140608_05:19,12737
20140608_05:20,13251
20140608_05:21,13390
20140608_05:22,12851
20140608_05:23,12741
20140608_05:24,12886
20140608_05:25,12573
20140608_05:26,13137
20140608_05:27,12227
20140608_05:28,12530
20140608_05:29,12641
20140608_05:30,13250
20140608_05:31,14186
20140608_05:32,12940
20140608_05:33,12162
20140608_05:34,12696
20140608_05:35,12819
20140608_05:36,12457
20140608_05:37,12420
20140608_05:38,12899
20140608_05:39,12879
20140608_05:40,13136
20140608_05:41,13759
20140608_05:42,12634
20140608_05:43,12983
20140608_05:44,12933
20140608_05:45,12802
20140608_05:46,13024
20140608_05:47,12463
20140608_05:48,13123
20140608_05:49,13078
20140608_05:50,13465
20140608_05:51,13474
20140608_05:52,12701
20140608_05:53,12999
20140608_05:54,13048
20140608_05:55,13051
20140608_05:56,13959
20140608_05:57,12808
20140608_05:58,13058
20140608_05:59,13026
20140608_06:00,12994
20140608_06:01,14173
20140608_06:02,13179
20140608_06:03,12199
20140608_06:04,12526
20140608_06:05,12735
20140608_06:06,13463
20140608_06:07,12411
20140608_06:08,12519
20140608_06:09,12867
20140608_06:10,12785
20140608_06:11,13542
20140608_06:12,12462
20140608_06:13,12340
20140608_06:14,12200
20140608_06:15,12547
20140608_06:16,12662
20140608_06:17,12799
20140608_06:18,12730
20140608_06:19,13469
20140608_06:20,12860
20140608_06:21,13202
20140608_06:22,12487
20140608_06:23,12778
20140608_06:24,12677
20140608_06:25,13328
20140608_06:26,13289
20140608_06:27,12380
20140608_06:28,12774
20140608_06:29,12735
20140608_06:30,14149
20140608_06:31,13554
20140608_06:32,13530
20140608_06:33,12852
20140608_06:34,12732
20140608_06:35,13495
20140608_06:36,14029
20140608_06:37,12505
20140608_06:38,12643
20140608_06:39,12609
20140608_06:40,12689
20140608_06:41,12389
20140608_06:42,12589
20140608_06:43,12987
20140608_06:44,12243
20140608_06:45,12580
20140608_06:46,13322
20140608_06:47,12322
20140608_06:48,12574
20140608_06:49,12573
20140608_06:50,12743
20140608_06:51,13149
20140608_06:52,12456
20140608_06:53,12806
20140608_06:54,12580
20140608_06:55,12571
20140608_06:56,13064
20140608_06:57,12462
20140608_06:58,12584
20140608_06:59,12862
20140608_07:00,13900
