req,Num
POST /online/charm,5943631
GET /content/view,104660
GET /user/space,202319
GET /notify/unread,333133
GET /music/list,67170
GET /accountInfo/find_users,142678
GET /user/money,2094
GET /present/account_presents,6939
GET /rec/types,1349
GET /rec/list,38943
POST /comment/like,9917
GET /content/dovebox/list,6921
GET /accountInfo/get_role_list,25716
POST /comment/send,3410
POST /present/give,5317
GET /friend/get,4598
POST /user/setting,3037
POST /comment/reply,1323
GET /present/list,6127
GET /chatRoom/list,6546
POST /user/uploadavatar,1080
POST /content/share/charm,716
POST /accountManager/login,3470
GET /user/profile,5036
GET /present/logs,3403
POST /accountInfo/save_info,1915
POST /content/dovebox/post,1362
POST /cs/sendMessage,625
GET /accountInfo/get,1503
GET http://api.nyx.l99.com/notify/unread,3663
GET /inner/manage/content/list,610
GET /cs/list,4365
GET /friend/getOnlineFriends,1805
GET /user/longbi_log,385
GET /present/check_presents,1408
GET /accountInfo/charm_inc_ranks,772
POST /file/upload,485
POST /rec/apply,174
POST /friend/handle,755
GET /friend/requests,35
GET /present/view,89
GET /accountInfo/charm_list,33
GET /orga/list,24
POST /cs/sendblock,74
POST /inner/manage/content/block,103
POST /inner/manage/user/change_avatar,29
POST /inner/manage/user/block,77
POST /content/hotspot,30
GET /user/setting,1
GET /inner/manage/user/get_users,53
GET /inner/manage/user/search_user,31
POST /accountManager/get_login_confirm,5
GET /user/uploadavatar,1
POST /file/roi_upload,11
GET /,20
POST /friend/add,54
POST /inner/rec/confirm_apply,1
POST /inner/rec/info,9
POST /inner/rec/recommend_user,10
GET /online/charm,5
GET /favicon.ico,10
GET /tool114la.gif,1
GET /robots.txt,1
GET /inner/manage/count/content,1
GET /inner/chatRoom/view,1
GET /cs/sendMessage,1
GET /blacklist/get,1
