req,Num
POST /online/charm,18309288
GET /content/view,56564
GET /user/space,100255
POST /present/give,2477
GET /music/list,42378
GET /notify/unread,190815
GET /accountInfo/find_users,44747
GET /content/dovebox/list,17679
GET /chatRoom/list,4252
POST /accountInfo/save_info,510
POST /accountManager/login,1575
POST /user/setting,1095
POST /content/dovebox/post,503
GET /user/profile,1785
GET /inner/manage/content/list,480
GET /user/money,741
GET /accountInfo/get_role_list,9448
GET /accountInfo/get,1422
GET /present/account_presents,2698
GET /cs/list,5322
GET /friend/get,3322
POST /cs/sendMessage,568
GET /present/list,2786
GET /friend/getOnlineFriends,2413
POST /user/uploadavatar,311
POST /content/share/charm,629
GET /present/logs,1298
POST /file/upload,547
GET http://api.nyx.l99.com/notify/unread,2043
GET /accountInfo/charm_inc_ranks,3521
GET /present/check_presents,488
POST /friend/handle,284
GET /present/view,181
GET /accountInfo/charm_list,41
POST /inner/manage/content/block,44
POST /cs/sendblock,27
GET /inner/manage/user/get_users,36
GET /blacklist/get,2
POST /friend/add,20
POST /inner/manage/user/change_avatar,24
GET /inner/manage/user/search_user,22
POST /content/hotspot,15
POST /accountInfo/update_user_favor,3
GET /inner/manage/count/content,4
GET /online/charm,20
GET /,10
HEAD /online/charm,1
POST /inner/manage/user/block,104
POST /blacklist/manager,1
GET /orga/list,23
GET /friend/requests,15
POST /accountManager/get_login_confirm,2
POST /file/uploadFile,3
GET /music/clntupate/QQMusic_Setup_92_923.exe,1
POST /file/roi_upload,2
POST //online/charm,8
