localId,localName,landmarkRank,lat,lng
725669,钟楼、鼓楼,1,26.044247,119.385872
725757,冰心文学馆,1,25.964857,119.510979
730051,龙潭湾森林公园,1,40.162026,123.062185
731895,赣州森林动物园,1,25.836427,114.970615
734017,云居滑雪场,1,39.598215,115.771061
739488,金沙滩,1,38.043945,114.564287
741133,昆仑饭店,1,38.046125,114.619263
742917,达拓跋焘森林公园,1,50.704101,124.137987
746649,长春森林植物园,1,43.792101,125.464725
747872,吉林省南湖宾馆,1,43.850462,125.278361
748687,火车站,1,42.906166,125.12902
752736,千佛崖摩崖造像,1,32.469129,105.853722
753456,广元火车站,1,32.44977,105.824735
756533,华侨大厦,1,25.25373,110.283755
756657,东江城市高尔夫俱乐部,1,25.270549,110.322568
757353,黑山植物园,1,25.253158,110.277103
757357,漓江景区,1,25.28946,110.30554
760015,舍利宝塔,1,25.267307,110.292095
760024,地质宝玉石矿展馆,1,25.264221,110.310726
760072,桂林图书馆,1,25.262338,110.295248
760123,广西师范大学,1,25.264865,110.328457
760720,火车站,1,25.261264,110.283939
767962,贵州广播电视大学,1,26.593204,106.701367
779885,东山高尔夫球场,1,19.797435,110.26499
788470,赵王城遗址,1,36.575585,114.443883
788486,赵王陵,1,36.755439,114.435686
789167,火车站,1,36.603081,114.477799
789562,锦江饭店,1,36.616949,114.511431
797330,岳飞墓,1,30.25193794,120.1348449
803630,陕西植物园,1,33.075693,107.061656
803926,汉中牡丹园,1,33.118719,106.992888
804791,鹤壁迎宾馆,1,35.73099,114.29389
806667,巴黎春天,1,35.751684,114.292905
810001,蜀山森林公园,1,31.832432,117.179508
810470,百盛商场,1,31.864558,117.29435
813791,安徽农业大学,1,31.859006,117.262509
814390,肥西县火车站,1,31.722413,117.140336
819529,火车站,1,47.340393,130.282784
825019,国贸民俗村滑雪场,1,42.874848,129.467558
830073,衡阳动物园,1,26.890038,112.605894
830593,商业城,1,26.961278,112.379132
831783,锦江饭店,1,26.896072,112.611244
837352,西苑饭店,1,35.617335,111.364782
849818,李郢孜火车站,1,32.583743,116.887428
849820,蔡家岗火车站,1,32.605505,116.866291
857423,西苑饭店,1,33.508732,119.142218
861480,友谊商城,1,38.38713,117.463833
863111,黄山动物园,1,29.787127,118.169611
866272,黄石站,1,30.153486,114.941594
867749,维多利广场,1,40.828392,111.698837
867953,呼和浩特体育馆,1,40.810929,111.669812
872016,航天塔,1,40.740689,111.974695
872172,内蒙古农业大学,1,40.804069,111.698776
872572,永益红旗奥迪,1,40.833392,111.689254
872639,新东洋奥迪帕萨特红旗捷达王,1,40.837743,111.673622
873060,火车站,1,40.829308,111.665004
876857,财富广场,1,23.101481,114.395589
885174,友谊商城,1,40.755255,120.86625
887275,龙湾海滨滑雪场,1,40.668774,120.815181
893610,火车站,1,46.80547,130.38076
903026,五家山国家深林滑雪场,1,43.786346,126.711071
911969,新世纪饭店,1,30.757354,120.687658
918175,大洋高尔夫俱乐部,1,23.551831,116.369805
918625,黄岐山森林公园,1,23.571874,116.375138
919500,华侨大厦,1,23.534766,116.358218
919522,绍兴饭店,1,23.553838,116.359119
921361,朱雀山滑雪场,1,43.803523,126.562167
