date,Num
20140607_00:00,16663
20140607_00:01,18710
20140607_00:02,20569
20140607_00:03,16082
20140607_00:04,15453
20140607_00:05,15942
20140607_00:06,16870
20140607_00:07,15763
20140607_00:08,15458
20140607_00:09,16449
20140607_00:10,16056
20140607_00:11,17346
20140607_00:12,15515
20140607_00:13,16016
20140607_00:14,16187
20140607_00:15,16942
20140607_00:16,16478
20140607_00:17,15709
20140607_00:18,15486
20140607_00:19,15519
20140607_00:20,15441
20140607_00:21,16128
20140607_00:22,14962
20140607_00:23,15475
20140607_00:24,15726
20140607_00:25,15589
20140607_00:26,16390
20140607_00:27,14979
20140607_00:28,16335
20140607_00:29,15430
20140607_00:30,15722
20140607_00:31,18271
20140607_00:32,17947
20140607_00:33,15182
20140607_00:34,15304
20140607_00:35,15927
20140607_00:36,16259
20140607_00:37,14550
20140607_00:38,14728
20140607_00:39,14962
20140607_00:40,14981
20140607_00:41,15618
20140607_00:42,14858
20140607_00:43,14853
20140607_00:44,14808
20140607_00:45,15654
20140607_00:46,15474
20140607_00:47,14542
20140607_00:48,14506
20140607_00:49,14789
20140607_00:50,15274
20140607_00:51,16167
20140607_00:52,14530
20140607_00:53,14749
20140607_00:54,15100
20140607_00:55,15114
20140607_00:56,15401
20140607_00:57,14883
20140607_00:58,14832
20140607_00:59,14679
20140607_01:00,14125
20140607_01:01,18763
20140607_01:02,14968
20140607_01:03,14524
20140607_01:04,15042
20140607_01:05,15185
20140607_01:06,15642
20140607_01:07,14315
20140607_01:08,14889
20140607_01:09,15040
20140607_01:10,14815
20140607_01:11,15347
20140607_01:12,14298
20140607_01:13,14824
20140607_01:14,15189
20140607_01:15,15198
20140607_01:16,15561
20140607_01:17,14969
20140607_01:18,15286
20140607_01:19,15217
20140607_01:20,15413
20140607_01:21,16223
20140607_01:22,14830
20140607_01:23,14686
20140607_01:24,15084
20140607_01:25,15216
20140607_01:26,16449
20140607_01:27,14323
20140607_01:28,14616
20140607_01:29,14508
20140607_01:30,13706
20140607_01:31,19490
20140607_01:32,14570
20140607_01:33,14909
20140607_01:34,15067
20140607_01:35,14906
20140607_01:36,15440
20140607_01:37,14226
20140607_01:38,14718
20140607_01:39,14417
20140607_01:40,15251
20140607_01:41,14992
20140607_01:42,14373
20140607_01:43,14648
20140607_01:44,14346
20140607_01:45,15324
20140607_01:46,15717
20140607_01:47,14013
20140607_01:48,14398
20140607_01:49,14460
20140607_01:50,14928
20140607_01:51,14917
20140607_01:52,14555
20140607_01:53,14788
20140607_01:54,14412
20140607_01:55,14859
20140607_01:56,15303
20140607_01:57,14166
20140607_01:58,14047
20140607_01:59,14210
20140607_02:00,14934
20140607_02:01,17660
20140607_02:02,15683
20140607_02:03,14585
20140607_02:04,14321
20140607_02:05,14538
20140607_02:06,15411
20140607_02:07,13987
20140607_02:08,14253
20140607_02:09,14588
20140607_02:10,14931
20140607_02:11,14551
20140607_02:12,13927
20140607_02:13,13891
20140607_02:14,14510
20140607_02:15,14623
20140607_02:16,15108
20140607_02:17,13981
20140607_02:18,14030
20140607_02:19,14464
20140607_02:20,14068
20140607_02:21,14270
20140607_02:22,13789
20140607_02:23,14171
20140607_02:24,14332
20140607_02:25,13958
20140607_02:26,14476
20140607_02:27,13710
20140607_02:28,14192
20140607_02:29,14076
20140607_02:30,14849
20140607_02:31,15783
20140607_02:32,17024
20140607_02:33,13863
20140607_02:34,14201
20140607_02:35,14144
20140607_02:36,14993
20140607_02:37,13944
20140607_02:38,14087
20140607_02:39,13748
20140607_02:40,14167
20140607_02:41,14391
20140607_02:42,13626
20140607_02:43,13967
20140607_02:44,13967
20140607_02:45,14158
20140607_02:46,14344
20140607_02:47,13588
20140607_02:48,13724
20140607_02:49,13697
20140607_02:50,14399
20140607_02:51,14347
20140607_02:52,13569
20140607_02:53,13453
20140607_02:54,13632
20140607_02:55,14383
20140607_02:56,14237
20140607_02:57,13367
20140607_02:58,13413
20140607_02:59,13707
20140607_03:00,15402
20140607_03:01,16513
20140607_03:02,14424
20140607_03:03,13703
20140607_03:04,13654
20140607_03:05,13924
20140607_03:06,14361
20140607_03:07,13225
20140607_03:08,13366
20140607_03:09,13612
20140607_03:10,13677
20140607_03:11,14310
