date,Num
20140616_00:00,8011
20140616_00:01,7674
20140616_00:02,7682
20140616_00:03,8030
20140616_00:04,9309
20140616_00:05,7777
20140616_00:06,8311
20140616_00:07,7677
20140616_00:08,7744
20140616_00:09,8070
20140616_00:10,8562
20140616_00:11,8477
20140616_00:12,8135
20140616_00:13,8562
20140616_00:14,8389
20140616_00:15,8158
20140616_00:16,8183
20140616_00:17,8140
20140616_00:18,8151
20140616_00:19,8097
20140616_00:20,8188
20140616_00:21,9012
20140616_00:22,8333
20140616_00:23,8441
20140616_00:24,8407
20140616_00:25,8412
20140616_00:26,8737
20140616_00:27,8077
20140616_00:28,8283
20140616_00:29,8218
20140616_00:30,8605
20140616_00:31,8697
20140616_00:32,8833
20140616_00:33,8365
20140616_00:34,8348
20140616_00:35,8483
20140616_00:36,8958
20140616_00:37,8257
20140616_00:38,8471
20140616_00:39,8675
20140616_00:40,8090
20140616_00:41,8683
20140616_00:42,7941
20140616_00:43,8570
20140616_00:44,8572
20140616_00:45,8215
20140616_00:46,8187
20140616_00:47,8244
20140616_00:48,8266
20140616_00:49,8144
20140616_00:50,8320
20140616_00:51,8062
20140616_00:52,8155
20140616_00:53,7707
20140616_00:54,7950
20140616_00:55,8261
20140616_00:56,8633
20140616_00:57,7891
20140616_00:58,8247
20140616_00:59,8166
20140616_01:00,8095
20140616_01:01,9259
20140616_01:02,9208
20140616_01:03,7942
20140616_01:04,7921
20140616_01:05,7709
20140616_01:06,8155
20140616_01:07,7649
20140616_01:08,7834
20140616_01:09,7857
20140616_01:10,7682
20140616_01:11,8110
20140616_01:12,7521
20140616_01:13,7387
20140616_01:14,7839
20140616_01:15,7864
20140616_01:16,8369
20140616_01:17,7637
20140616_01:18,7425
20140616_01:19,7867
20140616_01:20,7853
20140616_01:21,7809
20140616_01:22,7450
20140616_01:23,7683
20140616_01:24,7956
20140616_01:25,8069
20140616_01:26,7803
20140616_01:27,7675
20140616_01:28,7761
20140616_01:29,7639
20140616_01:30,8258
20140616_01:31,8389
20140616_01:32,8458
20140616_01:33,7805
20140616_01:34,7850
20140616_01:35,7727
20140616_01:36,7628
20140616_01:37,7525
20140616_01:38,7772
20140616_01:39,7730
20140616_01:40,7594
20140616_01:41,7634
20140616_01:42,7541
20140616_01:43,7662
20140616_01:44,7788
20140616_01:45,8302
20140616_01:46,8362
20140616_01:47,7530
20140616_01:48,7594
20140616_01:49,7679
20140616_01:50,7844
20140616_01:51,8363
20140616_01:52,7454
20140616_01:53,7622
20140616_01:54,7663
20140616_01:55,7953
20140616_01:56,7971
20140616_01:57,7757
20140616_01:58,7598
20140616_01:59,7732
20140616_02:00,8098
20140616_02:01,8075
20140616_02:02,7766
20140616_02:03,7598
20140616_02:04,7372
20140616_02:05,7744
20140616_02:06,7934
20140616_02:07,7336
20140616_02:08,7526
20140616_02:09,7562
20140616_02:10,7801
20140616_02:11,8249
20140616_02:12,7504
20140616_02:13,7591
20140616_02:14,7732
20140616_02:15,8072
20140616_02:16,8041
20140616_02:17,7533
20140616_02:18,7178
20140616_02:19,7396
20140616_02:20,7445
20140616_02:21,7798
20140616_02:22,7318
20140616_02:23,7273
20140616_02:24,7532
20140616_02:25,7664
20140616_02:26,7726
20140616_02:27,7384
20140616_02:28,7555
20140616_02:29,7498
20140616_02:30,6777
20140616_02:31,9347
20140616_02:32,8664
20140616_02:33,7532
20140616_02:34,7422
20140616_02:35,7975
20140616_02:36,7753
20140616_02:37,7200
20140616_02:38,7415
20140616_02:39,7010
20140616_02:40,7151
20140616_02:41,7785
20140616_02:42,6856
20140616_02:43,7133
20140616_02:44,7289
20140616_02:45,7270
20140616_02:46,7672
20140616_02:47,6854
20140616_02:48,6960
20140616_02:49,6970
20140616_02:50,6957
20140616_02:51,7100
20140616_02:52,6977
20140616_02:53,7031
20140616_02:54,7020
20140616_02:55,7223
20140616_02:56,7688
20140616_02:57,6810
20140616_02:58,6715
20140616_02:59,6745
20140616_03:00,7447
20140616_03:01,7723
20140616_03:02,6832
20140616_03:03,6498
20140616_03:04,6397
20140616_03:05,6521
20140616_03:06,7065
20140616_03:07,6456
20140616_03:08,6576
20140616_03:09,6567
20140616_03:10,6672
20140616_03:11,6894
20140616_03:12,6524
20140616_03:13,6615
20140616_03:14,6680
20140616_03:15,6809
20140616_03:16,7186
20140616_03:17,6508
20140616_03:18,6599
20140616_03:19,6501
20140616_03:20,7120
20140616_03:21,7026
20140616_03:22,6844
20140616_03:23,6711
20140616_03:24,6727
20140616_03:25,6896
20140616_03:26,6771
20140616_03:27,6390
20140616_03:28,6435
20140616_03:29,6293
20140616_03:30,6276
20140616_03:31,7567
20140616_03:32,6993
20140616_03:33,7013
20140616_03:34,6869
20140616_03:35,6774
20140616_03:36,6729
20140616_03:37,7068
20140616_03:38,6749
20140616_03:39,6295
20140616_03:40,6801
20140616_03:41,7173
20140616_03:42,6611
20140616_03:43,6642
20140616_03:44,6789
20140616_03:45,6264
20140616_03:46,6165
20140616_03:47,8001
20140616_03:48,6144
20140616_03:49,6603
20140616_03:50,6143
20140616_03:51,7117
20140616_03:52,6327
20140616_03:53,6523
20140616_03:54,6518
20140616_03:55,6506
20140616_03:56,6010
20140616_03:57,6194
20140616_03:58,6467
20140616_03:59,6169
20140616_04:00,6347
20140616_04:01,6830
20140616_04:02,6809
20140616_04:03,5942
20140616_04:04,5999
20140616_04:05,5785
20140616_04:06,6511
20140616_04:07,6030
20140616_04:08,6397
20140616_04:09,6050
20140616_04:10,6622
20140616_04:11,6157
20140616_04:12,8274
20140616_04:13,7306
20140616_04:14,7053
20140616_04:15,6999
20140616_04:16,6578
20140616_04:17,7614
20140616_04:18,6660
20140616_04:19,7225
20140616_04:20,7706
20140616_04:21,6957
20140616_04:22,8180
20140616_04:23,6734
20140616_04:24,6710
20140616_04:25,6222
20140616_04:26,6769
20140616_04:27,6148
20140616_04:28,6164
20140616_04:29,6048
20140616_04:30,6452
20140616_04:31,6385
20140616_04:32,6767
20140616_04:33,6235
20140616_04:34,5934
20140616_04:35,6113
20140616_04:36,6568
20140616_04:37,6258
20140616_04:38,6262
20140616_04:39,5951
20140616_04:40,6081
20140616_04:41,6448
20140616_04:42,6044
20140616_04:43,5983
20140616_04:44,6038
20140616_04:45,6170
20140616_04:46,6508
20140616_04:47,5978
20140616_04:48,5915
20140616_04:49,6164
20140616_04:50,6267
20140616_04:51,6576
20140616_04:52,5843
20140616_04:53,6286
20140616_04:54,5984
20140616_04:55,6204
20140616_04:56,6488
20140616_04:57,6004
20140616_04:58,5910
20140616_04:59,6057
20140616_05:00,6532
20140616_05:01,6888
20140616_05:02,6631
20140616_05:03,6014
20140616_05:04,6189
20140616_05:05,6266
20140616_05:06,6136
20140616_05:07,5938
20140616_05:08,6043
20140616_05:09,6224
20140616_05:10,6334
20140616_05:11,6568
20140616_05:12,6106
20140616_05:13,6126
20140616_05:14,6139
20140616_05:15,6399
