req,Num
POST /online/charm,50288998
GET /accountInfo/charm_inc_ranks,16888
GET /music/list,144598
GET /accountInfo/find_users,307150
GET /content/dovebox/list,82421
GET /notify/unread,667230
GET /content/view,161811
GET /accountInfo/get_role_list,78461
GET /user/space,405484
GET /present/logs,9605
GET /present/account_presents,16825
GET /user/profile,15488
GET /present/list,17587
GET /inner/manage/content/list,708
POST /accountManager/login,14685
POST /user/uploadavatar,3852
POST /content/dovebox/post,2016
POST /present/give,14950
GET /cs/list,5129
GET /friend/get,10742
POST /user/setting,17723
GET /chatRoom/list,22376
GET /user/money,7260
POST /file/upload,1029
POST /content/share/charm,1941
POST /accountInfo/save_info,15079
POST /cs/sendMessage,742
GET /present/view,713
GET /present/check_presents,1292
GET /accountInfo/get,3831
GET /accountInfo/charm_list,168
POST /friend/add,19
GET /friend/getOnlineFriends,1849
GET http://api.nyx.l99.com/notify/unread,1067
POST /cs/sendblock,39
POST /inner/manage/content/block,60
POST /friend/handle,824
GET /online/charm,320
GET /friend/requests,48
GET /orga/list,76
POST /content/hotspot,20
HEAD /online/charm,1
POST /inner/manage/user/block,32
POST /accountManager/get_login_confirm,5
GET /inner/manage/user/get_users,75
GET /,11
GET /inner/manage/user/search_user,37
HEAD /1401420498jtun_irev140529019.7z,7
GET /1401420498jtun_irev140529019.7z,5
GET /inner/robot/list,3
GET /inner/manage/count/content,7
GET /inner/manage/count/user,4
POST /inner/manage/user/change_avatar,16
GET /favicon.ico,1
HEAD /,3
GET /present/give,4
GET /chatroom/list,1
GET /user/setting,4
GET /blacklist/get,3
GET /accountinfo/find_users,9
GET /accountinfo/get_role_list,4
GET /robots.txt,1
GET /accountManager/login,4
GET /cs/sendmessage,3
GET /cs/sendMessage,1
POST /accountInfo/update_user_favor,1
POST http://api.nyx.l99.com/online/charm,3
POST /wap_nav.html,1
WGET /user/space,1
POST /file/roi_upload,1
GET http://api.nyx.l99.com/accountInfo/get_role_list,1
GET http://api.nyx.l99.com/accountInfo/find_users,1
POST /inner/chatRoom/add,4
GET /user/uploadavatar,1
