req,Num
POST /online/charm,19029251
GET /notify/unread,339647
GET /music/list,66097
GET /user/space,219867
GET /content/view,94738
GET /present/account_presents,6512
GET /accountInfo/find_users,142894
GET /content/dovebox/list,9943
GET /user/profile,5902
GET /accountInfo/get_role_list,30083
GET /accountInfo/get,1800
POST /accountManager/login,4708
GET /chatRoom/list,9183
GET /rec/list,27878
GET /user/money,2693
POST /rec/apply,221
POST /user/setting,4603
POST /cs/sendMessage,691
GET /present/list,8231
GET /cs/list,4699
GET /friend/getOnlineFriends,1640
POST /file/upload,1047
POST /present/give,7077
POST /comment/send,1742
POST /content/dovebox/post,1071
GET /present/logs,4418
GET /rec/types,1644
POST /content/share/charm,664
POST /comment/like,5939
POST /inner/manage/content/block,49
GET /inner/manage/content/list,473
GET /friend/get,5571
GET /accountInfo/charm_inc_ranks,717
POST /accountInfo/save_info,3785
GET http://api.nyx.l99.com/notify/unread,2100
POST /user/uploadavatar,1470
GET /present/check_presents,1115
POST /friend/handle,461
GET /inner/rec/apply_list,20
GET /inner/rec/info,15
GET /present/view,112
POST /comment/reply,604
GET /user/longbi_log,361
POST /inner/manage/user/block,219
GET /online/charm,621
GET /inner/manage/user/get_users,37
GET /inner/manage/user/search_user,22
POST /inner/manage/user/change_avatar,17
POST /content/hotspot,13
POST /cs/sendblock,30
GET /inner/manage/count/content,5
POST /file/roi_upload,1
POST /inner/rec/recommend_user,4
GET /friend/requests,24
POST /friend/add,14
GET /accountInfo/charm_list,36
HEAD /notify/unread,1
GET /,6
GET /orga/list,24
GET /accountinfo/find_users,7
GET /user/uploadavatar,4
GET /accountinfo/get_role_list,1
POST /accountManager/get_login_confirm,6
GET /login.asp,1
POST /inner/rec/confirm_apply,2
GET /market/release/js/common.min.js,1
POST /inner/rec/info,9
