req,Num
GET /notify/unread,340427
GET /present/view,2238
GET /user/space,220280
GET /content/view,80636
GET /present/list,6097
GET /music/list,62976
GET /accountInfo/find_users,62485
GET /content/dovebox/list,231159
GET /chatRoom/list,12402
POST /present/give,5267
GET /accountInfo/get_role_list,17601
GET /accountInfo/charm_inc_ranks,10522
POST /accountManager/login,2478
GET /accountInfo/get,3970
POST /accountInfo/save_info,970
GET /cs/list,8844
GET /present/account_presents,4733
POST /content/dovebox/post,610
GET /present/check_presents,905
POST /file/upload,1407
GET /user/profile,3242
GET /friend/get,4690
POST /inner/manage/content/block,50
POST /user/setting,2642
GET /friend/getOnlineFriends,3182
GET /friend/requests,82
POST /user/uploadavatar,610
POST /cs/sendMessage,718
GET /accountInfo/charm_list,80
GET /orga/list,136
GET /blacklist/get,18
GET /inner/manage/content/list,243
POST /friend/handle,545
GET /inner/manage/user/get_users,33
GET /inner/manage/user/search_user,18
POST /inner/manage/user/change_avatar,17
POST /cs/sendblock,36
POST /online/charm,3468
POST /friend/add,95
GET /accountInfo/save_info,1
POST /content/hotspot,28
GET /,14
POST /accountInfo/update_user_favor,9
POST /inner/manage/user/block,48
POST /accountManager/get_login_confirm,11
POST /file/roi_upload,5
GET /inner/manage/count/user,6
GET /present/logs,114
GET /user/money,19
GET /inner/manage/count/content,5
GET /favicon.ico,2
GET /accountInfo/manage/get_local_user_count,1
GET /present/give,6
GET /dovebox/content/view,2
GET /inner/robot/list,1
POST /file/uploadFile,95
POST /room/member/delete,8
POST /content/share/charm,5
GET /accountinfo/find_users,2
GET /user/setting,1
GET /cs/sendMessage,1
GET /wap_nav.html,1
