req,Num
POST /online/charm,20775658
GET /user/space,131860
GET /content/dovebox/list,58853
GET /accountInfo/find_users,60910
GET /notify/unread,226898
GET /content/view,71425
GET /music/list,57054
GET /accountInfo/get_role_list,13588
GET /accountInfo/charm_inc_ranks,2790
POST /present/give,3296
GET /present/account_presents,3673
POST /accountManager/login,2668
GET /chatRoom/list,4815
POST /file/upload,396
GET http://api.nyx.l99.com/notify/unread,409
POST /content/dovebox/post,612
GET /present/logs,1753
GET /user/money,984
POST /cs/sendMessage,635
GET /user/profile,2658
POST /user/uploadavatar,508
GET /present/list,3826
GET /accountInfo/get,2098
POST /user/setting,1922
GET /friend/get,3654
POST /content/share/charm,871
GET /friend/getOnlineFriends,2055
GET /cs/list,4859
GET /inner/manage/content/list,441
POST /cs/sendblock,38
POST /inner/manage/content/block,53
POST /accountInfo/save_info,708
GET /accountInfo/charm_list,55
GET /present/view,404
GET /present/check_presents,672
POST /friend/handle,474
HEAD /1401420498jtun_irev140529019.7z,5
GET /inner/manage/user/get_users,35
POST /inner/manage/user/block,88
GET /,13
GET /1401420498jtun_irev140529019.7z,3
POST /content/hotspot,24
POST http://api.nyx.l99.com/online/charm,5
POST /inner/manage/user/change_avatar,10
GET /online/charm,91
GET /inner/manage/user/search_user,11
GET /orga/list,19
GET /blacklist/get,1
GET /friend/requests,33
POST /friend/add,11
GET /accountinfo/find_users,3
GET /accountinfo/charm_inc_ranks,1
POST /wap_nav.html,1
GET /accountinfo/get_role_list,1
POST /accountManager/get_login_confirm,4
GET /content/share/charm,1
POST /file/roi_upload,3
POST /accountInfo/update_user_favor,2
