req,Num
POST /online/charm,25034556
GET /content/view,86555
GET /user/space,202672
GET /notify/unread,321596
GET /music/list,64687
GET /content/dovebox/list,13275
GET /present/account_presents,6031
GET /accountInfo/find_users,113769
GET /present/check_presents,910
POST /content/dovebox/post,865
POST /friend/handle,468
GET /accountInfo/get_role_list,29412
POST /cs/sendMessage,544
POST /accountInfo/save_info,4180
GET /chatRoom/list,10297
GET /friend/getOnlineFriends,2137
GET /user/profile,5775
GET /accountInfo/charm_inc_ranks,9085
GET /accountInfo/get,1389
POST /user/setting,5226
POST /accountManager/login,5998
GET /user/money,2921
GET /present/logs,4789
POST /content/share/charm,829
GET http://api.nyx.l99.com/notify/unread,1385
GET /present/list,8421
POST /user/uploadavatar,1834
POST /present/give,7213
GET /friend/get,5339
POST /file/upload,1376
GET /cs/list,4699
GET /present/view,133
GET /inner/manage/content/list,352
GET /friend/requests,18
POST /inner/manage/content/block,51
POST /inner/manage/user/block,76
POST /cs/sendblock,36
GET /accountInfo/charm_list,40
POST /inner/manage/user/change_avatar,17
GET /,11
GET /inner/manage/user/search_user,6
POST /content/hotspot,8
GET /inner/manage/user/get_users,71
POST /friend/add,18
GET /online/charm,39
HEAD /,35
GET /orga/list,31
POST /file/roi_upload,2
POST /accountManager/get_login_confirm,8
GET /accountinfo/find_users,14
GET /accountinfo/get_role_list,5
GET /accountinfo/save_info,1
GET /accountinfo/charm_inc_ranks,8
POST /file/uploadFile,6
GET /favicon.ico,4
POST /accountInfo/update_user_favor,4
GET /content/dovebox/post,1
GET /chatroom/list,1
GET /online/211.98.110.88,1
POST /inner/manage/user/update_user,2
GET /inner/manage/count/content,1
GET /1401420498jtun_irev140529019.7z,1
