req,Num
GET /present/list,13854
GET /content/dovebox/list,331354
GET /user/space,303748
GET /notify/unread,1071696
GET /music/list,102448
GET /accountInfo/find_users,125854
GET /accountInfo/get_role_list,37929
GET /content/view,207435
GET /chatRoom/list,17850
GET /accountInfo/charm_inc_ranks,26202
POST /present/give,10625
POST /user/setting,5422
GET /present/view,4686
POST /file/upload,1946
GET /present/account_presents,9947
POST /accountInfo/save_info,2038
GET /friend/get,4111
POST /content/dovebox/post,962
POST /user/uploadavatar,1176
GET /friend/requests,35
POST /friend/handle,1958
POST /accountManager/login,5809
POST /cs/sendMessage,796
GET /accountInfo/get,2735
GET /present/check_presents,1495
GET /accountinfo/charm_inc_ranks,2
GET /accountInfo/charm_list,266
GET /cs/list,620
POST /content/hotspot,44
GET /accountinfo/find_users,3
GET /orga/list,26
POST /friend/add,22
POST /file/roi_upload,1
GET /,27
POST /accountManager/get_login_confirm,10
GET /present/give,1
POST /accountInfo/update_user_favor,16
GET /friend/getOnlineFriends,28
GET /user/profile,960
GET /accountManager/login,1
GET /cs/sendMessage,1
GET /chatroom/list,1
POST /file/uploadFile,5
GET /user/setting,1
GET /files/%7F%3E%B1%22%3C%2F%1C%96%91Fgn2%E9%E7%DDoK%D9%3C/RCT-250r.rmvb,1
GET /favicon.ico,1
