req,Num
POST /online/charm,28534165
GET /notify/unread,321488
GET /user/space,174545
GET /content/view,92393
GET /chatRoom/list,8131
GET /accountInfo/charm_inc_ranks,2873
GET /accountInfo/get_role_list,24450
GET /music/list,68873
GET /accountInfo/find_users,99309
GET /content/dovebox/list,10194
POST /file/upload,1248
GET /present/list,6609
POST /present/give,5934
GET /present/logs,3361
GET /user/profile,5020
GET /accountInfo/get,1675
POST /accountManager/login,4543
GET /present/account_presents,5385
GET http://api.nyx.l99.com/notify/unread,1003
POST /user/setting,4124
GET /user/money,2382
GET /friend/get,4700
POST /content/dovebox/post,902
GET /,10
POST /user/uploadavatar,1355
GET /present/check_presents,840
POST /accountInfo/save_info,3808
POST /content/share/charm,551
POST /friend/handle,372
POST /cs/sendMessage,772
GET /inner/manage/content/list,501
GET /cs/list,4370
GET /friend/getOnlineFriends,1787
POST /cs/sendblock,46
GET /present/view,101
GET /orga/list,29
GET /online/charm,55
GET /inner/manage/user/search_user,18
GET /inner/manage/user/get_users,36
POST /inner/manage/user/change_avatar,23
POST /friend/add,33
GET /accountInfo/charm_list,42
GET /inner/manage/count/content,2
POST /inner/manage/content/block,45
POST /inner/manage/user/block,467
POST /content/hotspot,16
POST /file/roi_upload,4
GET /friend/requests,35
POST /file/uploadFile,3
POST /accountManager/get_login_confirm,7
GET /rec/list,1860
GET /accountinfo/find_users,3
POST /rec/apply,63
GET /inner/robot/list,1
GET /inner/manage/count/user,1
POST http://api.nyx.l99.com/online/charm,2
GET /rec/types,199
GET /user/longbi_log,33
POST /comment/like,650
POST /comment/send,173
POST /comment/reply,50
POST /inner/robot/account/list,1
GET /inner/rec/apply_list,17
GET /inner/rec/info,19
POST /inner/rec/recommend_user,6
POST /inner/rec/refuse_apply,4
POST /inner/rec/confirm_apply,1
GET /present/give,1
