req,Num
POST /online/charm,17830924
GET /content/dovebox/list,40802
GET /notify/unread,206344
GET /content/view,61447
GET /user/space,115417
GET /accountInfo/get_role_list,12197
GET /accountInfo/find_users,56585
GET /accountInfo/charm_inc_ranks,2292
GET /music/list,54334
GET /present/account_presents,3300
GET /present/view,333
GET /friend/get,3025
GET /chatRoom/list,4287
GET /present/list,3344
POST /present/give,2851
GET /present/logs,1527
POST /user/setting,1721
POST /accountManager/login,2497
GET /user/profile,2367
GET /friend/getOnlineFriends,1492
POST /user/uploadavatar,476
POST /content/dovebox/post,530
GET /accountInfo/get,1858
GET http://api.nyx.l99.com/notify/unread,493
GET /cs/list,3765
POST /file/upload,403
POST /accountInfo/save_info,648
POST /content/share/charm,427
GET /user/money,794
POST /cs/sendMessage,573
GET /accountInfo/charm_list,52
GET /inner/manage/content/list,350
GET /present/check_presents,546
POST /friend/handle,291
POST /friend/add,9
GET /orga/list,17
GET /friend/requests,19
POST /inner/manage/content/block,27
POST /cs/sendblock,23
GET /online/charm,39
GET /inner/manage/user/get_users,17
GET /inner/manage/user/search_user,10
POST /inner/manage/user/change_avatar,13
POST /accountManager/get_login_confirm,3
POST /inner/manage/user/block,78
GET /user/setting,1
POST /content/hotspot,14
POST /file/roi_upload,1
GET /,10
GET /1401420498jtun_irev140529019.7z,3
POST /accountInfo/update_user_favor,3
GET /accountinfo/find_users,6
GET /file/upload,1
GET /blacklist/get,1
HEAD /1401420498jtun_irev140529019.7z,1
