id,localName,checkNum,lat,lng
1664825,溢磬牛肉店,1,23.15008685,113.2639039
1669106,爽辣棒棒鸡(洋桥店),1,39.86248811,116.3872109
1673903,申北面馆,1,31.25637914,121.4765969
1675585,百富源酒楼(和平里店),1,39.957244,116.423297
1678282,真锅咖啡厅(蒙自路店),1,31.20533405,121.4781421
1682914,笑舟花店,1,30.26320806,120.2069159
1684663,素英家政服务,1,31.24024608,121.3621829
1693101,老山东炒货,1,31.21514298,121.4787751
1700517,苏菲雅婚纱摄影,1,39.94899209,116.424863
1711196,赛百味(淮太店),1,31.22354487,121.4745309
1715261,都麦食品(吴中路店),1,31.184316,121.405068
1718599,金桂美食,1,23.14997896,113.2652131
1725160,闸北区牙病防治所,1,31.26415805,121.4684429
1735557,香阁丽面馆,1,31.20791291,121.481743
2115476,皇岗口岸汽车检测站,1,22.52207514,114.0699989
2115764,韩诺思电子技术开发有限公司,1,22.529969,114.0813329
2115817,腾达搬家服务,1,22.52981106,114.083306
2115986,环宇飞扬（北京）数码科技有限公司深圳分公司,1,22.53922308,114.0890509
2164271,中普讯电信营业厅,1,39.87715205,116.3126931
2167037,中国联通宇时行合作营业厅,1,39.93543509,116.396157
2167207,中国移动蒋宅口营业厅,1,39.96165496,116.407478
2167228,北京电信甘水桥营业厅,1,39.96254308,116.408457
2167471,中国移动国信通达和平里营业厅,1,39.95703198,116.4224299
2368542,东部软件园停车场,1,30.27804612,120.14602
2370536,浙江文艺出版社,1,30.27014105,120.1601479
2370537,浙江电子音像出版社,1,30.27014105,120.1601479
2370538,浙江省期刊出版中心,1,30.27014105,120.1601479
2370539,浙江科学技术出版社,1,30.27014105,120.1601479
2371207,下城区天水武林社区卫生服务中心,1,30.26894109,120.1649859
2373194,西部时报浙江记者站,1,30.26618697,120.1837761
2373195,西部时报社驻浙江工作站,1,30.26618697,120.1837761
2486346,中国移动通信有限责任公司上海有限公司南京西路营业厅,1,31.23002491,121.4589211
2486771,中国移动通信（斜土路营业厅）,1,31.20438714,121.47789
2564497,凉果厂,1,39.91248796,116.3279719
2576978,澳门新苑,1,31.24650713,121.4470141
2583327,中环家园一期,1,31.26553309,121.4111308
2587687,锦绣江南三期,1,22.63850212,114.0267489
2654902,"尚广广告 Soul Advertising",1,23.10910105,113.3585419
2662123,友谊稻香海鲜火锅,1,22.538044,114.120266
2690798,中国雷锋资料馆办事处,1,39.89971208,116.3930541
2691240,景山公园售票处,1,39.92580088,116.3991259
2691405,二人行巴渝小厨川菜馆,1,39.96814007,116.4007781
2771647,上海机场（集团）有限公司虹桥国际机场公司运行保障分公司灯光科,1,31.1808929,121.344143
2772779,"SIXTY NINE CLOTHING STORE",1,31.18820104,121.3873722
2774789,锦江之星旅馆,1,31.20711199,121.4769351
2774827,上海建设机场道路工程有限公司,1,31.19887899,121.4807291
3136017,鸿晖美食,1,23.10886114,113.2546968
3137216,幸运楼酒家,1,23.11652,113.2673991
3141329,华夏银行(五羊新城营业厅),1,23.12029207,113.313393
3141339,广东中旅,1,23.12024212,113.3138821
3172092,小豆面馆(马甸店),1,39.96326698,116.3807109
3172918,兰花坊,1,39.93385994,116.391891
3173300,九方洲文化仟禧福喜庆服务部,1,39.9339219,116.3957141
3173487,马聚源,1,39.89591011,116.3971739
3173731,交通宾馆餐厅,1,39.96520788,116.3989231
3176116,星光世纪旅行社,1,39.96184204,116.4138301
3207264,快印先生(柳林路店),1,31.22311509,121.4805189
3221913,豫申园城隍庙小吃世界(新港路店),1,31.26864792,121.502793
3226251,徐汇区斜土社区老年服务中心食堂,1,31.19719812,121.46235
3234633,肯德基(虬江店),1,31.25251008,121.4775319
3238635,慈善基金会,1,31.20972808,121.4823341
3244526,光明便利,1,31.25994711,121.444288
3246456,辣肉丝面馆,1,31.21681207,121.4818878
3246977,菲菲鲜花店,1,31.26148013,121.5070111
3253465,爱利舍外贸内衣行,1,31.22334102,121.4810299
3259020,英豪教育技术培训学校(打浦路分校),1,31.20507797,121.4690139
3265732,强生皇家玫瑰园,1,31.23036206,121.459595
3267549,森霖玩具(襄阳店),1,31.21460306,121.456718
