date,Num
20140605_00:00,22207
20140605_00:01,24010
20140605_00:02,24171
20140605_00:03,21746
20140605_00:04,21773
20140605_00:05,21807
20140605_00:06,23207
20140605_00:07,21409
20140605_00:08,21344
20140605_00:09,21463
20140605_00:10,22237
20140605_00:11,22306
20140605_00:12,21530
20140605_00:13,21393
20140605_00:14,21793
20140605_00:15,22499
20140605_00:16,22095
20140605_00:17,21216
20140605_00:18,21452
20140605_00:19,21751
20140605_00:20,22355
20140605_00:21,21817
20140605_00:22,21363
20140605_00:23,22295
20140605_00:24,22330
20140605_00:25,21498
20140605_00:26,23797
20140605_00:27,21228
20140605_00:28,21747
20140605_00:29,21960
20140605_00:30,22906
20140605_00:31,23261
20140605_00:32,22803
20140605_00:33,21112
20140605_00:34,21427
20140605_00:35,22168
20140605_00:36,21101
20140605_00:37,21470
20140605_00:38,21625
20140605_00:39,20948
20140605_00:40,21466
20140605_00:41,20699
20140605_00:42,21411
20140605_00:43,21872
20140605_00:44,21341
20140605_00:45,21642
20140605_00:46,23459
20140605_00:47,21453
20140605_00:48,20945
20140605_00:49,21483
20140605_00:50,21137
20140605_00:51,22040
20140605_00:52,19977
20140605_00:53,20797
20140605_00:54,20284
20140605_00:55,21229
20140605_00:56,21059
20140605_00:57,20550
20140605_00:58,20213
20140605_00:59,21513
20140605_01:00,20844
20140605_01:01,23796
20140605_01:02,20716
20140605_01:03,20517
20140605_01:04,20343
20140605_01:05,21444
20140605_01:06,21571
20140605_01:07,20071
20140605_01:08,20304
20140605_01:09,20108
20140605_01:10,21525
20140605_01:11,21726
20140605_01:12,20362
20140605_01:13,20146
20140605_01:14,20286
20140605_01:15,21079
20140605_01:16,21381
20140605_01:17,20134
20140605_01:18,20508
20140605_01:19,20679
20140605_01:20,20547
20140605_01:21,20356
20140605_01:22,19840
20140605_01:23,20529
20140605_01:24,20747
20140605_01:25,21405
20140605_01:26,21639
20140605_01:27,20905
20140605_01:28,20965
20140605_01:29,20355
20140605_01:30,19431
20140605_01:31,24047
20140605_01:32,21716
20140605_01:33,20632
20140605_01:34,20925
20140605_01:35,20602
20140605_01:36,21508
20140605_01:37,19393
20140605_01:38,19745
20140605_01:39,20473
20140605_01:40,19992
20140605_01:41,20322
20140605_01:42,19521
20140605_01:43,20542
20140605_01:44,19571
20140605_01:45,20222
20140605_01:46,20947
20140605_01:47,19236
20140605_01:48,18877
20140605_01:49,20133
20140605_01:50,20134
20140605_01:51,20103
20140605_01:52,19570
20140605_01:53,19454
20140605_01:54,19378
20140605_01:55,20460
20140605_01:56,19838
20140605_01:57,19373
20140605_01:58,19221
20140605_01:59,19591
20140605_02:00,20067
20140605_02:01,21624
20140605_02:02,21241
20140605_02:03,18703
20140605_02:04,19822
20140605_02:05,19475
20140605_02:06,19640
20140605_02:07,19233
20140605_02:08,18985
20140605_02:09,19198
20140605_02:10,18803
20140605_02:11,19518
20140605_02:12,18168
20140605_02:13,18383
20140605_02:14,19484
20140605_02:15,20359
20140605_02:16,20266
20140605_02:17,19186
20140605_02:18,19368
20140605_02:19,19158
20140605_02:20,20064
20140605_02:21,19562
20140605_02:22,19013
20140605_02:23,18970
20140605_02:24,19283
20140605_02:25,18981
20140605_02:26,19164
20140605_02:27,18590
20140605_02:28,18659
20140605_02:29,18814
20140605_02:30,18851
20140605_02:31,21526
20140605_02:32,18779
20140605_02:33,18762
20140605_02:34,18823
20140605_02:35,19569
20140605_02:36,20247
20140605_02:37,18231
20140605_02:38,18837
20140605_02:39,18959
20140605_02:40,18299
20140605_02:41,19191
20140605_02:42,18687
20140605_02:43,17988
20140605_02:44,18205
20140605_02:45,18146
20140605_02:46,19694
20140605_02:47,18023
20140605_02:48,17892
20140605_02:49,18851
20140605_02:50,18799
20140605_02:51,18647
20140605_02:52,17767
20140605_02:53,18216
20140605_02:54,18304
20140605_02:55,18936
20140605_02:56,19607
20140605_02:57,17699
20140605_02:58,18402
20140605_02:59,18281
20140605_03:00,18904
20140605_03:01,19939
20140605_03:02,20425
20140605_03:03,18513
20140605_03:04,18474
20140605_03:05,18276
20140605_03:06,19517
20140605_03:07,18235
20140605_03:08,18432
20140605_03:09,17834
20140605_03:10,20310
20140605_03:11,18817
20140605_03:12,20905
20140605_03:13,18337
20140605_03:14,21708
20140605_03:15,19300
20140605_03:16,18694
20140605_03:17,19728
20140605_03:18,18608
20140605_03:19,19116
20140605_03:20,19847
20140605_03:21,18258
20140605_03:22,19253
20140605_03:23,19718
20140605_03:24,19152
20140605_03:25,18755
20140605_03:26,17239
20140605_03:27,20713
20140605_03:28,17676
20140605_03:29,19260
20140605_03:30,20074
20140605_03:31,19805
20140605_03:32,20818
20140605_03:33,18262
20140605_03:34,18387
20140605_03:35,17469
