req,Num
POST /online/charm,25708844
GET /notify/unread,284929
GET /present/check_presents,724
GET /content/dovebox/list,64299
GET /accountInfo/get_role_list,17017
POST /accountManager/login,3370
GET /user/space,159323
GET /accountInfo/find_users,76687
GET /music/list,69733
GET /content/view,89320
POST /user/uploadavatar,664
POST /accountInfo/save_info,873
GET /present/account_presents,4605
GET /chatRoom/list,6082
POST /content/share/charm,737
POST /friend/handle,389
POST /user/setting,2135
GET /accountInfo/charm_inc_ranks,3256
GET /user/money,1204
GET /present/view,545
GET /present/list,5387
POST /content/dovebox/post,688
POST /present/give,4452
GET /user/profile,3291
GET /inner/manage/content/list,477
GET /friend/get,3187
GET /present/logs,2080
GET http://api.nyx.l99.com/notify/unread,528
POST /cs/sendMessage,677
GET /accountInfo/get,2536
GET /online/charm,154
POST /inner/manage/user/block,110
POST /cs/sendblock,26
GET /cs/list,3139
POST /friend/add,18
POST /file/upload,361
POST /inner/manage/content/block,23
GET /inner/manage/user/get_users,50
GET /,23
GET /accountInfo/charm_list,67
GET /orga/list,35
POST /accountManager/get_login_confirm,31
GET /user/setting,1
POST /content/hotspot,24
GET /inner/manage/user/search_user,29
POST /inner/manage/user/change_avatar,25
GET /friend/requests,18
POST /inner/manage/user/update_user,2
GET /accountManager/login,1
GET /content/dovebox/post,1
GET /accountinfo/find_users,13
POST http://api.nyx.l99.com/online/charm,18
POST /wap_nav.html,15
GET /chatroom/list,1
POST /accountInfo/update_user_favor,5
GET /friend/getOnlineFriends,984
GET /inner/manage/count/user,5
GET /inner/robot/list,2
GET /inner/manage/count/content,1
GET /login.asp,1
HEAD /online/charm,1
HEAD /1401420498jtun_irev140529019.7z,1
POST /file/uploadFile,6
GET /accountinfo/get_role_list,1
