date,Num
20140604_00:00,31014
20140604_00:01,57398
20140604_00:02,46609
20140604_00:03,32513
20140604_00:04,31898
20140604_00:05,30200
20140604_00:06,35160
20140604_00:07,33981
20140604_00:08,31151
20140604_00:09,36105
20140604_00:10,35884
20140604_00:11,39780
20140604_00:12,32027
20140604_00:13,35054
20140604_00:14,31358
20140604_00:15,34125
20140604_00:16,34417
20140604_00:17,32830
20140604_00:18,32421
20140604_00:19,34571
20140604_00:20,32389
20140604_00:21,36238
20140604_00:22,31947
20140604_00:23,31856
20140604_00:24,32625
20140604_00:25,30486
20140604_00:26,37748
20140604_00:27,29443
20140604_00:28,32403
20140604_00:29,30056
20140604_00:30,30965
20140604_00:31,44048
20140604_00:32,38359
20140604_00:33,31973
20140604_00:34,31630
20140604_00:35,32524
20140604_00:36,35840
20140604_00:37,31102
20140604_00:38,28949
20140604_00:39,35959
20140604_00:40,31272
20140604_00:41,32529
20140604_00:42,30988
20140604_00:43,31106
20140604_00:44,31322
20140604_00:45,30620
20140604_00:46,32887
20140604_00:47,30031
20140604_00:48,30590
20140604_00:49,32582
20140604_00:50,31170
20140604_00:51,31828
20140604_00:52,31904
20140604_00:53,31820
20140604_00:54,31858
20140604_00:55,30227
20140604_00:56,30552
20140604_00:57,31317
20140604_00:58,30651
20140604_00:59,29907
20140604_01:00,28679
20140604_01:01,40363
20140604_01:02,32213
20140604_01:03,29050
20140604_01:04,29400
20140604_01:05,29820
20140604_01:06,30762
20140604_01:07,28701
20140604_01:08,29745
20140604_01:09,29219
20140604_01:10,29421
20140604_01:11,27927
20140604_01:12,28911
20140604_01:13,31444
20140604_01:14,29441
20140604_01:15,29518
20140604_01:16,29261
20140604_01:17,29007
20140604_01:18,29138
20140604_01:19,29643
20140604_01:20,27758
20140604_01:21,31033
20140604_01:22,28730
20140604_01:23,29771
20140604_01:24,29334
20140604_01:25,27561
20140604_01:26,30697
20140604_01:27,29667
20140604_01:28,28558
20140604_01:29,29331
20140604_01:30,29203
20140604_01:31,35715
20140604_01:32,29059
20140604_01:33,29293
20140604_01:34,27529
20140604_01:35,25785
20140604_01:36,34089
20140604_01:37,27723
20140604_01:38,27522
20140604_01:39,27590
20140604_01:40,28482
20140604_01:41,29574
20140604_01:42,26552
20140604_01:43,29195
20140604_01:44,28961
20140604_01:45,27742
20140604_01:46,28137
20140604_01:47,28164
20140604_01:48,27629
20140604_01:49,28013
20140604_01:50,26823
20140604_01:51,29862
20140604_01:52,26303
20140604_01:53,29084
20140604_01:54,28129
20140604_01:55,29075
20140604_01:56,28103
20140604_01:57,27191
20140604_01:58,27520
20140604_01:59,27385
20140604_02:00,26268
20140604_02:01,39392
20140604_02:02,26511
20140604_02:03,28544
20140604_02:04,27352
20140604_02:05,29236
20140604_02:06,27084
20140604_02:07,26326
20140604_02:08,27221
20140604_02:09,26554
20140604_02:10,27334
20140604_02:11,28569
20140604_02:12,28130
20140604_02:13,27380
20140604_02:14,25873
20140604_02:15,28856
20140604_02:16,28873
20140604_02:17,26620
20140604_02:18,27629
20140604_02:19,28636
20140604_02:20,27039
20140604_02:21,28794
20140604_02:22,27560
20140604_02:23,26935
20140604_02:24,27652
20140604_02:25,27976
20140604_02:26,27167
20140604_02:27,27708
20140604_02:28,27194
20140604_02:29,26275
20140604_02:30,29397
20140604_02:31,30583
20140604_02:32,27619
20140604_02:33,25910
20140604_02:34,26400
20140604_02:35,24955
20140604_02:36,32227
20140604_02:37,26570
20140604_02:38,26241
20140604_02:39,25883
20140604_02:40,25991
20140604_02:41,27286
20140604_02:42,25809
20140604_02:43,24980
20140604_02:44,26298
20140604_02:45,26028
20140604_02:46,27080
20140604_02:47,25558
20140604_02:48,25733
20140604_02:49,25923
20140604_02:50,25929
20140604_02:51,26967
20140604_02:52,25769
20140604_02:53,25439
20140604_02:54,26118
20140604_02:55,26619
20140604_02:56,28504
20140604_02:57,25259
20140604_02:58,26552
20140604_02:59,25787
20140604_03:00,24858
20140604_03:01,34795
20140604_03:02,29359
20140604_03:03,24287
20140604_03:04,27766
20140604_03:05,25375
20140604_03:06,26184
20140604_03:07,26159
20140604_03:08,25186
20140604_03:09,25812
20140604_03:10,26726
20140604_03:11,26307
20140604_03:12,30103
20140604_03:13,34737
20140604_03:14,28532
20140604_03:15,26813
20140604_03:16,31584
20140604_03:17,27654
20140604_03:18,27203
20140604_03:19,27326
20140604_03:20,26470
20140604_03:21,37258
20140604_03:22,26893
20140604_03:23,27370
20140604_03:24,26733
20140604_03:25,27530
20140604_03:26,36275
20140604_03:27,34154
20140604_03:28,29381
20140604_03:29,26940
20140604_03:30,27014
20140604_03:31,26326
20140604_03:32,27307
20140604_03:33,24017
20140604_03:34,26783
20140604_03:35,24002
20140604_03:36,28839
20140604_03:37,28281
20140604_03:38,25655
20140604_03:39,27419
20140604_03:40,25973
20140604_03:41,28100
20140604_03:42,26252
20140604_03:43,25852
20140604_03:44,26642
20140604_03:45,25540
20140604_03:46,28259
20140604_03:47,26368
20140604_03:48,25266
20140604_03:49,25264
20140604_03:50,27104
20140604_03:51,26415
20140604_03:52,26310
20140604_03:53,25385
20140604_03:54,25614
20140604_03:55,25524
20140604_03:56,26739
20140604_03:57,25566
20140604_03:58,25110
20140604_03:59,27782
20140604_04:00,25929
20140604_04:01,31240
20140604_04:02,26170
20140604_04:03,32501
20140604_04:04,25886
20140604_04:05,26051
20140604_04:06,30168
20140604_04:07,25662
20140604_04:08,23650
20140604_04:09,27377
20140604_04:10,25413
20140604_04:11,23465
20140604_04:12,26992
20140604_04:13,26540
20140604_04:14,25340
20140604_04:15,23841
20140604_04:16,27628
20140604_04:17,25909
20140604_04:18,23489
20140604_04:19,25134
20140604_04:20,25726
20140604_04:21,24755
20140604_04:22,24659
20140604_04:23,23852
20140604_04:24,23656
20140604_04:25,25006
20140604_04:26,25061
20140604_04:27,24462
20140604_04:28,23461
20140604_04:29,23721
20140604_04:30,23741
20140604_04:31,31105
20140604_04:32,25594
20140604_04:33,23008
20140604_04:34,24623
20140604_04:35,24717
20140604_04:36,24452
20140604_04:37,22750
20140604_04:38,23050
20140604_04:39,23797
20140604_04:40,21842
20140604_04:41,27180
20140604_04:42,23430
20140604_04:43,22930
20140604_04:44,23180
20140604_04:45,23561
20140604_04:46,24906
20140604_04:47,22920
20140604_04:48,23009
20140604_04:49,23340
20140604_04:50,24040
20140604_04:51,24831
20140604_04:52,23150
20140604_04:53,24485
20140604_04:54,23769
20140604_04:55,24688
20140604_04:56,25060
20140604_04:57,22861
20140604_04:58,23812
20140604_04:59,24184
20140604_05:00,24943
20140604_05:01,26540
20140604_05:02,25459
20140604_05:03,24059
20140604_05:04,23751
20140604_05:05,25293
20140604_05:06,23488
20140604_05:07,23719
20140604_05:08,24686
20140604_05:09,23575
20140604_05:10,24796
20140604_05:11,24436
20140604_05:12,23980
20140604_05:13,23704
20140604_05:14,23041
20140604_05:15,23940
20140604_05:16,24954
20140604_05:17,23927
20140604_05:18,23547
20140604_05:19,24053
20140604_05:20,25045
