date,Num
20140528_00:00,1289
20140528_00:01,1454
20140528_00:02,1374
20140528_00:03,1372
20140528_00:04,1322
20140528_00:05,1461
20140528_00:06,1315
20140528_00:07,1353
20140528_00:08,1344
20140528_00:09,1303
20140528_00:10,1356
20140528_00:11,1370
20140528_00:12,1270
20140528_00:13,1282
20140528_00:14,1340
20140528_00:15,1195
20140528_00:16,1262
20140528_00:17,1255
20140528_00:18,1347
20140528_00:19,1254
20140528_00:20,1103
20140528_00:21,1182
20140528_00:22,1219
20140528_00:23,1217
20140528_00:24,1182
20140528_00:25,1186
20140528_00:26,1221
20140528_00:27,1124
20140528_00:28,1207
20140528_00:29,1141
20140528_00:30,1117
20140528_00:31,1281
20140528_00:32,1057
20140528_00:33,1172
20140528_00:34,1092
20140528_00:35,1082
20140528_00:36,1110
20140528_00:37,1099
20140528_00:38,1246
20140528_00:39,1241
20140528_00:40,1264
20140528_00:41,1141
20140528_00:42,1133
20140528_00:43,1175
20140528_00:44,1254
20140528_00:45,1235
20140528_00:46,1245
20140528_00:47,1174
20140528_00:48,1261
20140528_00:49,1143
20140528_00:50,1192
20140528_00:51,1093
20140528_00:52,1068
20140528_00:53,1090
20140528_00:54,1128
20140528_00:55,1076
20140528_00:56,1023
20140528_00:57,952
20140528_00:58,972
20140528_00:59,1032
20140528_01:00,1016
20140528_01:01,952
20140528_01:02,988
20140528_01:03,1042
20140528_01:04,921
20140528_01:05,942
20140528_01:06,916
20140528_01:07,972
20140528_01:08,886
20140528_01:09,879
20140528_01:10,852
20140528_01:11,806
20140528_01:12,889
20140528_01:13,824
20140528_01:14,910
20140528_01:15,826
20140528_01:16,866
20140528_01:17,830
20140528_01:18,812
20140528_01:19,807
20140528_01:20,858
20140528_01:21,830
20140528_01:22,804
20140528_01:23,808
20140528_01:24,775
20140528_01:25,736
20140528_01:26,780
20140528_01:27,733
20140528_01:28,716
20140528_01:29,780
20140528_01:30,716
20140528_01:31,771
20140528_01:32,766
20140528_01:33,668
20140528_01:34,764
20140528_01:35,716
20140528_01:36,672
20140528_01:37,677
20140528_01:38,717
20140528_01:39,627
20140528_01:40,638
20140528_01:41,629
20140528_01:42,644
20140528_01:43,635
20140528_01:44,567
20140528_01:45,572
20140528_01:46,605
20140528_01:47,636
20140528_01:48,615
20140528_01:49,624
20140528_01:50,568
20140528_01:51,591
20140528_01:52,618
20140528_01:53,602
20140528_01:54,1168
20140528_01:55,945
20140528_01:56,841
20140528_01:57,747
20140528_01:58,837
20140528_01:59,820
20140528_02:00,735
20140528_02:01,648
20140528_02:02,686
20140528_02:03,723
20140528_02:04,704
20140528_02:05,616
20140528_02:06,597
20140528_02:07,620
20140528_02:08,628
20140528_02:09,637
20140528_02:10,611
20140528_02:11,603
20140528_02:12,616
20140528_02:13,685
20140528_02:14,667
20140528_02:15,581
20140528_02:16,608
20140528_02:17,586
20140528_02:18,605
20140528_02:19,587
20140528_02:20,559
20140528_02:21,600
20140528_02:22,580
20140528_02:23,618
20140528_02:24,571
20140528_02:25,488
20140528_02:26,485
20140528_02:27,562
20140528_02:28,463
20140528_02:29,533
20140528_02:30,565
20140528_02:31,516
20140528_02:32,566
20140528_02:33,561
20140528_02:34,545
20140528_02:35,564
20140528_02:36,541
20140528_02:37,573
20140528_02:38,579
20140528_02:39,545
20140528_02:40,522
20140528_02:41,507
20140528_02:42,512
20140528_02:43,491
20140528_02:44,432
20140528_02:45,461
20140528_02:46,448
20140528_02:47,491
20140528_02:48,583
20140528_02:49,500
20140528_02:50,500
20140528_02:51,521
20140528_02:52,489
20140528_02:53,424
20140528_02:54,393
20140528_02:55,421
20140528_02:56,470
20140528_02:57,452
20140528_02:58,396
20140528_02:59,434
20140528_03:00,414
20140528_03:01,440
20140528_03:02,392
20140528_03:03,410
20140528_03:04,433
20140528_03:05,449
20140528_03:06,403
20140528_03:07,363
20140528_03:08,431
20140528_03:09,409
20140528_03:10,413
20140528_03:11,488
20140528_03:12,412
20140528_03:13,358
20140528_03:14,412
20140528_03:15,442
20140528_03:16,365
20140528_03:17,394
20140528_03:18,429
20140528_03:19,397
20140528_03:20,374
20140528_03:21,375
20140528_03:22,344
20140528_03:23,353
20140528_03:24,366
20140528_03:25,369
20140528_03:26,391
20140528_03:27,377
20140528_03:28,389
20140528_03:29,382
20140528_03:30,417
20140528_03:31,360
20140528_03:32,373
20140528_03:33,366
20140528_03:34,342
20140528_03:35,334
20140528_03:36,331
20140528_03:37,318
20140528_03:38,337
20140528_03:39,319
20140528_03:40,318
20140528_03:41,361
20140528_03:42,362
20140528_03:43,340
20140528_03:44,361
20140528_03:45,349
20140528_03:46,404
20140528_03:47,362
20140528_03:48,362
20140528_03:49,399
20140528_03:50,323
20140528_03:51,355
20140528_03:52,333
20140528_03:53,339
20140528_03:54,374
20140528_03:55,351
20140528_03:56,353
20140528_03:57,374
20140528_03:58,349
20140528_03:59,339
20140528_04:00,351
20140528_04:01,315
20140528_04:02,373
20140528_04:03,371
20140528_04:04,303
20140528_04:05,344
20140528_04:06,344
20140528_04:07,352
20140528_04:08,351
20140528_04:09,350
20140528_04:10,403
20140528_04:11,424
20140528_04:12,339
20140528_04:13,346
20140528_04:14,308
20140528_04:15,339
20140528_04:16,315
20140528_04:17,354
20140528_04:18,386
20140528_04:19,368
20140528_04:20,421
20140528_04:21,353
20140528_04:22,343
20140528_04:23,336
20140528_04:24,357
20140528_04:25,324
20140528_04:26,282
20140528_04:27,312
20140528_04:28,332
20140528_04:29,309
20140528_04:30,340
20140528_04:31,328
20140528_04:32,258
20140528_04:33,293
20140528_04:34,311
20140528_04:35,290
20140528_04:36,333
20140528_04:37,291
20140528_04:38,327
20140528_04:39,366
20140528_04:40,316
20140528_04:41,329
20140528_04:42,339
20140528_04:43,330
20140528_04:44,382
20140528_04:45,343
20140528_04:46,410
20140528_04:47,398
20140528_04:48,367
20140528_04:49,335
20140528_04:50,384
20140528_04:51,363
20140528_04:52,378
20140528_04:53,374
20140528_04:54,385
20140528_04:55,378
20140528_04:56,321
20140528_04:57,371
20140528_04:58,354
20140528_04:59,341
20140528_05:00,390
20140528_05:01,393
20140528_05:02,353
20140528_05:03,379
20140528_05:04,436
20140528_05:05,397
20140528_05:06,401
20140528_05:07,411
20140528_05:08,415
20140528_05:09,395
20140528_05:10,404
20140528_05:11,428
20140528_05:12,457
20140528_05:13,403
20140528_05:14,437
20140528_05:15,452
20140528_05:16,487
20140528_05:17,516
20140528_05:18,511
20140528_05:19,466
20140528_05:20,495
20140528_05:21,447
20140528_05:22,454
20140528_05:23,473
20140528_05:24,479
20140528_05:25,517
20140528_05:26,514
20140528_05:27,521
20140528_05:28,463
20140528_05:29,470
20140528_05:30,423
20140528_05:31,429
20140528_05:32,517
20140528_05:33,464
20140528_05:34,461
20140528_05:35,469
20140528_05:36,558
20140528_05:37,498
20140528_05:38,516
20140528_05:39,439
20140528_05:40,496
20140528_05:41,541
20140528_05:42,501
20140528_05:43,512
20140528_05:44,487
20140528_05:45,442
20140528_05:46,402
20140528_05:47,501
20140528_05:48,530
20140528_05:49,498
20140528_05:50,494
20140528_05:51,491
20140528_05:52,515
20140528_05:53,473
20140528_05:54,496
20140528_05:55,489
20140528_05:56,487
20140528_05:57,467
20140528_05:58,480
20140528_05:59,459
20140528_06:00,524
20140528_06:01,551
20140528_06:02,519
20140528_06:03,539
20140528_06:04,565
20140528_06:05,568
20140528_06:06,630
20140528_06:07,684
20140528_06:08,569
20140528_06:09,626
20140528_06:10,604
20140528_06:11,610
20140528_06:12,619
20140528_06:13,582
20140528_06:14,573
20140528_06:15,589
20140528_06:16,602
20140528_06:17,586
20140528_06:18,576
20140528_06:19,633
20140528_06:20,587
20140528_06:21,602
20140528_06:22,533
20140528_06:23,499
20140528_06:24,517
20140528_06:25,572
20140528_06:26,610
20140528_06:27,599
20140528_06:28,668
20140528_06:29,651
20140528_06:30,633
20140528_06:31,701
20140528_06:32,635
20140528_06:33,663
20140528_06:34,637
20140528_06:35,638
20140528_06:36,641
20140528_06:37,631
20140528_06:38,645
20140528_06:39,669
20140528_06:40,706
20140528_06:41,682
20140528_06:42,622
20140528_06:43,595
20140528_06:44,636
20140528_06:45,605
20140528_06:46,694
20140528_06:47,755
20140528_06:48,713
20140528_06:49,734
20140528_06:50,769
20140528_06:51,715
20140528_06:52,737
20140528_06:53,763
20140528_06:54,728
20140528_06:55,715
20140528_06:56,720
20140528_06:57,697
20140528_06:58,691
20140528_06:59,671
20140528_07:00,666
20140528_07:01,672
20140528_07:02,743
20140528_07:03,718
20140528_07:04,703
20140528_07:05,734
20140528_07:06,706
20140528_07:07,762
