date,Num
20140614_00:00,20666
20140614_00:01,22912
20140614_00:02,20702
20140614_00:03,18430
20140614_00:04,17979
20140614_00:05,17957
20140614_00:06,18845
20140614_00:07,18281
20140614_00:08,18112
20140614_00:09,18471
20140614_00:10,18370
20140614_00:11,18270
20140614_00:12,17908
20140614_00:13,18273
20140614_00:14,18110
20140614_00:15,19409
20140614_00:16,18773
20140614_00:17,18284
20140614_00:18,17793
20140614_00:19,18156
20140614_00:20,19563
20140614_00:21,20072
20140614_00:22,17790
20140614_00:23,18175
20140614_00:24,18522
20140614_00:25,19150
20140614_00:26,18537
20140614_00:27,18203
20140614_00:28,18204
20140614_00:29,18477
20140614_00:30,17732
20140614_00:31,21551
20140614_00:32,19874
20140614_00:33,18173
20140614_00:34,18339
20140614_00:35,19406
20140614_00:36,19172
20140614_00:37,17884
20140614_00:38,17923
20140614_00:39,18228
20140614_00:40,19099
20140614_00:41,19477
20140614_00:42,18165
20140614_00:43,18420
20140614_00:44,18064
20140614_00:45,18795
20140614_00:46,18641
20140614_00:47,18416
20140614_00:48,17790
20140614_00:49,17907
20140614_00:50,18329
20140614_00:51,19540
20140614_00:52,18058
20140614_00:53,18441
20140614_00:54,18440
20140614_00:55,19654
20140614_00:56,18549
20140614_00:57,18349
20140614_00:58,18394
20140614_00:59,18365
20140614_01:00,18584
20140614_01:01,20986
20140614_01:02,19413
20140614_01:03,18119
20140614_01:04,18170
20140614_01:05,18452
20140614_01:06,18864
20140614_01:07,17471
20140614_01:08,17508
20140614_01:09,17844
20140614_01:10,19068
20140614_01:11,18745
20140614_01:12,17819
20140614_01:13,17244
20140614_01:14,17624
20140614_01:15,18740
20140614_01:16,19082
20140614_01:17,16933
20140614_01:18,17098
20140614_01:19,17194
20140614_01:20,17058
20140614_01:21,18611
20140614_01:22,16936
20140614_01:23,16751
20140614_01:24,17166
20140614_01:25,16920
20140614_01:26,17771
20140614_01:27,16601
20140614_01:28,16330
20140614_01:29,16475
20140614_01:30,18403
20140614_01:31,19246
20140614_01:32,18019
20140614_01:33,16523
20140614_01:34,16801
20140614_01:35,17574
20140614_01:36,18091
20140614_01:37,16579
20140614_01:38,16719
20140614_01:39,16334
20140614_01:40,16676
20140614_01:41,17979
20140614_01:42,16083
20140614_01:43,15626
20140614_01:44,16206
20140614_01:45,16877
20140614_01:46,16642
20140614_01:47,15829
20140614_01:48,15772
20140614_01:49,16088
20140614_01:50,16828
20140614_01:51,16932
20140614_01:52,15894
20140614_01:53,16180
20140614_01:54,16016
20140614_01:55,16651
20140614_01:56,16646
20140614_01:57,14918
20140614_01:58,15450
20140614_01:59,15290
20140614_02:00,16173
20140614_02:01,19376
20140614_02:02,17075
20140614_02:03,15213
20140614_02:04,15415
20140614_02:05,15934
20140614_02:06,16882
20140614_02:07,15211
20140614_02:08,15720
20140614_02:09,15366
20140614_02:10,15587
20140614_02:11,15827
20140614_02:12,15501
20140614_02:13,15666
20140614_02:14,15865
20140614_02:15,16117
20140614_02:16,16597
20140614_02:17,15449
20140614_02:18,15753
20140614_02:19,15898
20140614_02:20,16539
20140614_02:21,17498
20140614_02:22,15895
20140614_02:23,15829
20140614_02:24,15504
20140614_02:25,16060
20140614_02:26,16980
20140614_02:27,15999
20140614_02:28,16161
20140614_02:29,16005
20140614_02:30,14837
20140614_02:31,20226
20140614_02:32,17851
20140614_02:33,15776
20140614_02:34,16185
20140614_02:35,15992
20140614_02:36,16674
20140614_02:37,15412
20140614_02:38,15524
20140614_02:39,15587
20140614_02:40,15444
20140614_02:41,16217
20140614_02:42,15442
20140614_02:43,15425
20140614_02:44,15324
20140614_02:45,15725
20140614_02:46,16384
20140614_02:47,15407
20140614_02:48,15698
20140614_02:49,16109
20140614_02:50,15832
20140614_02:51,17006
20140614_02:52,15569
20140614_02:53,15616
20140614_02:54,15890
20140614_02:55,16992
20140614_02:56,16528
20140614_02:57,15729
20140614_02:58,15643
20140614_02:59,15844
20140614_03:00,14868
20140614_03:01,19656
20140614_03:02,16748
20140614_03:03,15726
20140614_03:04,16235
20140614_03:05,16741
20140614_03:06,16637
20140614_03:07,15985
20140614_03:08,16174
20140614_03:09,15868
20140614_03:10,15721
20140614_03:11,16094
20140614_03:12,16533
20140614_03:13,17308
20140614_03:14,15932
20140614_03:15,15703
20140614_03:16,18570
20140614_03:17,15331
20140614_03:18,16038
20140614_03:19,16337
20140614_03:20,16096
20140614_03:21,16432
20140614_03:22,17262
