req,Num
POST /online/charm,32025126
GET /user/space,173854
GET /content/dovebox/list,69755
GET /content/view,99017
GET /music/list,85896
GET /accountInfo/charm_inc_ranks,4514
GET /notify/unread,327426
GET /accountInfo/get_role_list,24047
GET /accountInfo/find_users,111725
GET /accountInfo/get,2365
GET /present/account_presents,6049
GET /chatRoom/list,8150
POST /accountManager/login,4550
POST /present/give,5099
GET /user/profile,4703
POST /accountInfo/save_info,1646
POST /user/setting,4159
GET /friend/get,5072
POST /content/dovebox/post,902
GET /present/logs,2543
POST /user/uploadavatar,994
GET /user/money,1847
GET /present/list,5683
POST /friend/handle,680
POST /file/upload,541
GET /cs/list,5121
GET /present/check_presents,713
GET /blacklist/get,3
POST /content/share/charm,927
POST /cs/sendMessage,526
GET /online/charm,229
GET /friend/getOnlineFriends,2066
POST /inner/manage/user/block,46
GET /present/view,510
GET /accountinfo/find_users,9
GET http://api.nyx.l99.com/content/view,3
GET /orga/list,33
GET /accountInfo/charm_list,119
POST /inner/manage/content/block,41
GET /accountinfo/charm_inc_ranks,2
POST /file/roi_upload,4
GET /inner/manage/content/list,494
POST /cs/sendblock,41
POST /content/hotspot,23
POST /accountInfo/update_user_favor,6
POST /friend/add,18
GET /inner/manage/user/search_user,31
POST /inner/manage/user/change_avatar,19
GET /inner/manage/user/get_users,30
GET /friend/requests,34
HEAD /online/charm,1
POST http://api.nyx.l99.com/online/charm,4
HEAD /1401420498jtun_irev140529019.7z,7
GET /1401420498jtun_irev140529019.7z,5
GET /,18
GET /present/give,1
GET /user/uploadavatar,1
GET /inner/manage/count/user,2
POST /file/uploadFile,1
POST /accountManager/get_login_confirm,20
HEAD /accountInfo/find_users,1
GET http://api.nyx.l99.com/notify/unread,243
GET /inner/manage/count/content,1
GET /inner/manage/count/accurate_user_sts,2
POST /inner/robot/account/list,1
