date,Num
20140609_00:00,14946
20140609_00:01,19372
20140609_00:02,19727
20140609_00:03,16230
20140609_00:04,16551
20140609_00:05,17063
20140609_00:06,17618
20140609_00:07,16558
20140609_00:08,16786
20140609_00:09,16539
20140609_00:10,16526
20140609_00:11,16203
20140609_00:12,16301
20140609_00:13,16351
20140609_00:14,16739
20140609_00:15,16379
20140609_00:16,17748
20140609_00:17,16127
20140609_00:18,16346
20140609_00:19,16211
20140609_00:20,16363
20140609_00:21,16868
20140609_00:22,15692
20140609_00:23,15692
20140609_00:24,16065
20140609_00:25,15988
20140609_00:26,16607
20140609_00:27,15707
20140609_00:28,16106
20140609_00:29,15569
20140609_00:30,16226
20140609_00:31,18413
20140609_00:32,16221
20140609_00:33,15321
20140609_00:34,15292
20140609_00:35,15976
20140609_00:36,16674
20140609_00:37,15337
20140609_00:38,15199
20140609_00:39,14983
20140609_00:40,14983
20140609_00:41,16214
20140609_00:42,15286
20140609_00:43,14773
20140609_00:44,14993
20140609_00:45,14596
20140609_00:46,15513
20140609_00:47,14863
20140609_00:48,14835
20140609_00:49,15221
20140609_00:50,15289
20140609_00:51,15843
20140609_00:52,14742
20140609_00:53,14865
20140609_00:54,14981
20140609_00:55,14813
20140609_00:56,14887
20140609_00:57,15031
20140609_00:58,15485
20140609_00:59,15297
20140609_01:00,15535
20140609_01:01,17506
20140609_01:02,17041
20140609_01:03,15490
20140609_01:04,15194
20140609_01:05,15212
20140609_01:06,15785
20140609_01:07,15004
20140609_01:08,14916
20140609_01:09,15272
20140609_01:10,14335
20140609_01:11,16913
20140609_01:12,14820
20140609_01:13,14889
20140609_01:14,14387
20140609_01:15,14090
20140609_01:16,14802
20140609_01:17,14025
20140609_01:18,13910
20140609_01:19,14295
20140609_01:20,14408
20140609_01:21,14608
20140609_01:22,13603
20140609_01:23,13805
20140609_01:24,14080
20140609_01:25,14279
20140609_01:26,15766
20140609_01:27,13818
20140609_01:28,14180
20140609_01:29,13856
20140609_01:30,14108
20140609_01:31,15419
20140609_01:32,16538
20140609_01:33,13996
20140609_01:34,14358
20140609_01:35,14352
20140609_01:36,14431
20140609_01:37,14143
20140609_01:38,14270
20140609_01:39,14231
20140609_01:40,13921
20140609_01:41,14988
20140609_01:42,13716
20140609_01:43,13600
20140609_01:44,13688
20140609_01:45,13675
20140609_01:46,14007
20140609_01:47,13474
20140609_01:48,13711
20140609_01:49,13923
20140609_01:50,13693
20140609_01:51,14195
20140609_01:52,13380
20140609_01:53,13518
20140609_01:54,13932
20140609_01:55,13737
20140609_01:56,14702
20140609_01:57,13582
20140609_01:58,13667
20140609_01:59,13772
20140609_02:00,15222
20140609_02:01,14822
20140609_02:02,15736
20140609_02:03,13458
20140609_02:04,13488
20140609_02:05,13580
20140609_02:06,14412
20140609_02:07,13737
20140609_02:08,13961
20140609_02:09,14473
20140609_02:10,14533
20140609_02:11,14902
20140609_02:12,13687
20140609_02:13,13695
20140609_02:14,14349
20140609_02:15,14006
20140609_02:16,14573
20140609_02:17,13642
20140609_02:18,13595
20140609_02:19,13875
20140609_02:20,13532
20140609_02:21,14707
20140609_02:22,13403
20140609_02:23,13553
20140609_02:24,13853
20140609_02:25,14149
20140609_02:26,14914
20140609_02:27,13940
20140609_02:28,14396
20140609_02:29,14502
20140609_02:30,15889
20140609_02:31,16094
20140609_02:32,14890
20140609_02:33,13943
