req,Num
POST /online/charm,28315897
GET /present/check_presents,976
GET /music/list,96400
GET /notify/unread,466984
GET /content/dovebox/list,103289
GET /user/space,306889
GET /content/view,97835
GET /accountInfo/get_role_list,49375
GET /chatRoom/list,16429
GET /present/list,13706
GET /accountInfo/find_users,193842
POST /present/give,12246
POST /content/dovebox/post,1536
GET /accountInfo/get,4095
GET /present/account_presents,9890
GET /friend/get,7067
POST /accountInfo/save_info,6456
GET /accountInfo/charm_inc_ranks,5113
GET /user/profile,10237
POST /accountManager/login,8812
GET /present/logs,7239
POST /user/setting,8379
GET /user/money,4758
POST /content/share/charm,285
GET /cs/list,9173
GET /present/view,882
POST /user/uploadavatar,3707
POST /file/upload,1389
GET http://api.nyx.l99.com/notify/unread,1505
GET /friend/getOnlineFriends,1120
POST /cs/sendMessage,919
GET /orga/list,194
POST /friend/handle,618
POST /cs/sendblock,38
GET /inner/manage/content/list,341
GET /accountInfo/charm_list,106
POST /accountManager/get_login_confirm,5
POST /inner/manage/user/block,18
POST /friend/add,93
GET /friend/requests,127
GET /online/charm,156
POST /inner/manage/content/block,48
GET /inner/manage/user/search_user,1
POST /inner/manage/user/change_avatar,23
GET /accountinfo/get_role_list,2
GET /accountinfo/find_users,7
HEAD /accountInfo/get_role_list,1
GET /,6
GET /user/uploadavatar,1
GET /blacklist/get,5
POST /content/hotspot,15
GET /inner/manage/user/get_users,4
GET /present/give,1
POST /accountInfo/update_user_favor,10
POST /file/roi_upload,2
GET /notify/unreoid&version=1.0&format=json,1
HEAD /online/charm,2
GET /inner/manage/count/content,2
GET /file/upload,1
GET /accountManager/login,1
GET /cs/sendMessage,1
GET /robots.txt,1
POST http://api.nyx.l99.com/online/charm,1
POST /friend/delete,1
GET /content/dovebox/post,1
