date,Num
20140619_00:00,5058
20140619_00:01,5467
20140619_00:02,6425
20140619_00:03,4821
20140619_00:04,4814
20140619_00:05,5063
20140619_00:06,5110
20140619_00:07,4751
20140619_00:08,4798
20140619_00:09,4844
20140619_00:10,4838
20140619_00:11,5025
20140619_00:12,4752
20140619_00:13,4787
20140619_00:14,4831
20140619_00:15,4894
20140619_00:16,5331
20140619_00:17,4820
20140619_00:18,4697
20140619_00:19,4952
20140619_00:20,5220
20140619_00:21,5291
20140619_00:22,4740
20140619_00:23,5071
20140619_00:24,4751
20140619_00:25,4493
20140619_00:26,5018
20140619_00:27,4590
20140619_00:28,4630
20140619_00:29,4759
20140619_00:30,5038
20140619_00:31,5877
20140619_00:32,5228
20140619_00:33,5125
20140619_00:34,4758
20140619_00:35,4747
20140619_00:36,5000
20140619_00:37,4571
20140619_00:38,4530
20140619_00:39,4755
20140619_00:40,4793
20140619_00:41,4876
20140619_00:42,4446
20140619_00:43,4481
20140619_00:44,4534
20140619_00:45,4615
20140619_00:46,4929
20140619_00:47,4497
20140619_00:48,4661
20140619_00:49,4697
20140619_00:50,4732
20140619_00:51,4899
20140619_00:52,4586
20140619_00:53,4359
20140619_00:54,4596
20140619_00:55,4659
20140619_00:56,5222
20140619_00:57,4463
20140619_00:58,4502
20140619_00:59,4650
20140619_01:00,4411
20140619_01:01,5963
20140619_01:02,4923
20140619_01:03,4848
20140619_01:04,4843
20140619_01:05,4806
20140619_01:06,4921
20140619_01:07,4818
20140619_01:08,4695
20140619_01:09,4697
20140619_01:10,4743
20140619_01:11,4765
20140619_01:12,4371
20140619_01:13,4441
20140619_01:14,4353
20140619_01:15,4811
20140619_01:16,4965
20140619_01:17,4519
20140619_01:18,4575
20140619_01:19,4627
20140619_01:20,4654
20140619_01:21,4784
20140619_01:22,4511
20140619_01:23,4409
20140619_01:24,4409
20140619_01:25,4552
20140619_01:26,4939
20140619_01:27,4445
20140619_01:28,4501
20140619_01:29,4654
20140619_01:30,4809
20140619_01:31,5236
20140619_01:32,4857
20140619_01:33,4322
20140619_01:34,4464
