req,Num
POST /online/charm,47143869
GET /content/dovebox/list,104290
GET /music/list,135723
GET /user/money,7253
GET /accountInfo/find_users,299910
GET /user/space,445583
GET /accountInfo/get_role_list,72227
GET /notify/unread,640932
GET /content/view,165146
GET /present/account_presents,15072
GET /user/profile,15023
GET /present/list,18608
GET /chatRoom/list,21575
POST /present/give,17188
POST /user/setting,14708
GET /friend/get,9811
POST /content/dovebox/post,1948
POST /file/upload,1415
POST /accountManager/login,11846
POST /user/uploadavatar,5218
POST /accountInfo/save_info,12008
GET /accountInfo/get,3620
GET /present/logs,9881
GET /accountInfo/charm_inc_ranks,18551
GET /accountInfo/charm_list,183
GET /present/view,967
GET /cs/list,6237
GET /present/check_presents,1263
POST /friend/handle,837
GET /friend/getOnlineFriends,1423
POST /cs/sendMessage,952
GET http://api.nyx.l99.com/notify/unread,1804
GET /online/charm,312
POST /inner/manage/content/block,90
POST /content/hotspot,29
POST /content/share/charm,1081
POST /inner/manage/user/block,28
GET /orga/list,165
POST /cs/sendblock,63
GET /friend/requests,91
GET /inner/manage/content/list,648
POST /friend/add,68
GET /inner/manage/user/search_user,15
GET /inner/manage/user/get_users,18
POST /inner/manage/user/change_avatar,25
POST /accountInfo/update_user_favor,4
GET /accountinfo/get_role_list,6
GET /,7
GET /accountManager/login,2
HEAD /notify/unread,1
HEAD /1401420498jtun_irev140529019.7z,6
GET /1401420498jtun_irev140529019.7z,10
POST /accountManager/get_login_confirm,3
GET /accountinfo/find_users,10
POST http://api.nyx.l99.com/online/charm,1
GET /user/setting,4
POST /blacklist/manager,1
GET /accountmanager/login,1
POST /file/roi_upload,1
GET /blacklist/get,3
