req,Num
POST /online/charm,11571301
GET /notify/unread,449283
GET /rec/list,62637
GET /user/space,328491
GET /chatRoom/list,12250
GET /content/view,127466
GET /music/list,82283
GET /user/profile,9206
GET /accountInfo/find_users,230633
GET /present/account_presents,9616
POST /present/give,11582
GET /present/logs,6960
POST /comment/reply,1205
GET /present/list,13159
GET /accountInfo/get_role_list,46632
GET /content/dovebox/list,8867
POST /file/upload,1074
POST /comment/like,12713
POST /comment/send,3999
POST /user/uploadavatar,2408
GET /rec/types,2800
GET http://api.nyx.l99.com/notify/unread,2094
GET /friend/get,6149
GET /friend/getOnlineFriends,980
GET /cs/list,6026
GET /user/money,4195
GET /accountInfo/charm_inc_ranks,649
POST /user/setting,6919
GET /accountInfo/get,1671
POST /accountManager/login,7180
POST /accountInfo/save_info,6333
GET /present/view,124
POST /content/dovebox/post,1602
GET /present/check_presents,1311
POST /content/share/charm,716
GET /user/longbi_log,750
POST /cs/sendMessage,661
POST /rec/apply,328
GET /inner/manage/content/list,589
POST /inner/manage/content/block,80
POST /cs/sendblock,59
POST /friend/handle,630
GET /accountInfo/charm_list,67
POST /friend/add,9
GET /inner/manage/user/search_user,69
POST /inner/manage/user/change_avatar,29
GET /inner/manage/user/get_users,74
GET /friend/requests,15
POST /content/hotspot,23
GET /orga/list,16
GET /,6
GET /online/charm,47
POST /inner/manage/user/block,90
GET /accountinfo/find_users,14
GET /accountinfo/get_role_list,2
HEAD /user/money,1
GET /comment/send,1
POST /file/roi_upload,3
GET /robots.txt,1
GET /accountManager/login,1
GET /comment/like,1
POST /inner/rec/confirm_apply,5
POST /inner/rec/info,11
POST http://api.nyx.l99.com/online/charm,48
POST /inner/rec/recommend_user,40
POST /accountManager/get_login_confirm,5
GET /cs/sendMessage,1
POST /blacklist/manager,2
