date,Num
20140615_00:00,11866
20140615_00:01,14479
20140615_00:02,11818
20140615_00:03,10460
20140615_00:04,11043
20140615_00:05,10758
20140615_00:06,11014
20140615_00:07,10462
20140615_00:08,10853
20140615_00:09,10795
20140615_00:10,10997
20140615_00:11,11133
20140615_00:12,10621
20140615_00:13,10758
20140615_00:14,11027
20140615_00:15,11303
20140615_00:16,11655
20140615_00:17,10573
20140615_00:18,10520
20140615_00:19,10761
20140615_00:20,10747
20140615_00:21,10880
20140615_00:22,10526
20140615_00:23,10526
20140615_00:24,10864
20140615_00:25,11366
20140615_00:26,11642
20140615_00:27,11258
20140615_00:28,11277
20140615_00:29,11563
20140615_00:30,12246
20140615_00:31,13267
20140615_00:32,12283
20140615_00:33,11100
20140615_00:34,10907
20140615_00:35,11471
20140615_00:36,11096
20140615_00:37,10822
20140615_00:38,11034
20140615_00:39,11137
20140615_00:40,11277
20140615_00:41,11130
20140615_00:42,10982
20140615_00:43,10824
20140615_00:44,10643
20140615_00:45,10908
20140615_00:46,11055
20140615_00:47,10653
20140615_00:48,10748
20140615_00:49,10870
20140615_00:50,11006
20140615_00:51,11130
20140615_00:52,10920
20140615_00:53,10859
20140615_00:54,10963
20140615_00:55,11160
20140615_00:56,11095
20140615_00:57,10900
20140615_00:58,11114
20140615_00:59,11317
20140615_01:00,12262
20140615_01:01,13433
20140615_01:02,11039
20140615_01:03,11010
20140615_01:04,11231
20140615_01:05,11191
20140615_01:06,11499
20140615_01:07,10993
20140615_01:08,10938
20140615_01:09,11309
20140615_01:10,10753
20140615_01:11,11471
20140615_01:12,10829
20140615_01:13,10837
20140615_01:14,11237
20140615_01:15,11789
20140615_01:16,11687
20140615_01:17,11159
20140615_01:18,11146
20140615_01:19,11421
20140615_01:20,11802
20140615_01:21,11512
20140615_01:22,11071
20140615_01:23,11291
20140615_01:24,11358
20140615_01:25,11478
20140615_01:26,11778
20140615_01:27,11068
20140615_01:28,10982
20140615_01:29,11352
20140615_01:30,11810
20140615_01:31,12381
20140615_01:32,12171
20140615_01:33,10876
20140615_01:34,10887
20140615_01:35,10890
20140615_01:36,11700
20140615_01:37,10930
20140615_01:38,11091
20140615_01:39,11117
20140615_01:40,10864
20140615_01:41,11459
20140615_01:42,10890
20140615_01:43,10674
20140615_01:44,10796
20140615_01:45,10379
20140615_01:46,11415
20140615_01:47,10645
20140615_01:48,10712
20140615_01:49,10703
20140615_01:50,11011
20140615_01:51,11320
20140615_01:52,10385
20140615_01:53,10730
20140615_01:54,10785
20140615_01:55,10726
20140615_01:56,11429
20140615_01:57,10214
20140615_01:58,10263
20140615_01:59,10089
20140615_02:00,10911
20140615_02:01,12280
20140615_02:02,11440
20140615_02:03,10751
20140615_02:04,10740
20140615_02:05,10923
20140615_02:06,11362
20140615_02:07,10353
20140615_02:08,10435
20140615_02:09,10382
20140615_02:10,10731
20140615_02:11,10953
20140615_02:12,10541
20140615_02:13,10315
20140615_02:14,10697
20140615_02:15,10642
20140615_02:16,11651
20140615_02:17,10531
20140615_02:18,10823
20140615_02:19,11150
20140615_02:20,10471
20140615_02:21,11123
20140615_02:22,10146
20140615_02:23,10130
20140615_02:24,10393
20140615_02:25,10441
20140615_02:26,11463
20140615_02:27,10200
20140615_02:28,10191
20140615_02:29,10068
20140615_02:30,10509
20140615_02:31,11955
20140615_02:32,10555
20140615_02:33,9882
20140615_02:34,9774
20140615_02:35,10495
20140615_02:36,10763
20140615_02:37,10097
20140615_02:38,9864
20140615_02:39,9718
20140615_02:40,10036
20140615_02:41,10438
20140615_02:42,9659
20140615_02:43,9614
20140615_02:44,9812
20140615_02:45,10468
20140615_02:46,10861
20140615_02:47,9728
20140615_02:48,9815
20140615_02:49,10121
20140615_02:50,9948
20140615_02:51,9898
20140615_02:52,9684
20140615_02:53,9708
20140615_02:54,9776
20140615_02:55,9753
20140615_02:56,10709
20140615_02:57,9691
20140615_02:58,9810
20140615_02:59,9533
20140615_03:00,9939
20140615_03:01,11942
20140615_03:02,9569
20140615_03:03,9305
20140615_03:04,9557
20140615_03:05,9676
20140615_03:06,10151
20140615_03:07,9277
20140615_03:08,9238
20140615_03:09,9433
20140615_03:10,9395
20140615_03:11,10061
20140615_03:12,9174
20140615_03:13,9204
20140615_03:14,9022
20140615_03:15,9535
20140615_03:16,10132
20140615_03:17,9316
20140615_03:18,9357
20140615_03:19,9471
20140615_03:20,9634
20140615_03:21,9947
20140615_03:22,9404
20140615_03:23,9263
20140615_03:24,9946
20140615_03:25,9661
20140615_03:26,9410
20140615_03:27,9286
20140615_03:28,9029
20140615_03:29,8874
20140615_03:30,9302
20140615_03:31,11126
20140615_03:32,10270
20140615_03:33,9146
20140615_03:34,9562
20140615_03:35,8763
20140615_03:36,10947
20140615_03:37,9129
20140615_03:38,9489
20140615_03:39,9679
20140615_03:40,9294
20140615_03:41,9811
20140615_03:42,9456
20140615_03:43,9428
20140615_03:44,9932
20140615_03:45,10073
20140615_03:46,9915
20140615_03:47,9989
20140615_03:48,10309
20140615_03:49,9362
20140615_03:50,9926
20140615_03:51,9935
20140615_03:52,9465
20140615_03:53,10826
20140615_03:54,9714
20140615_03:55,9077
20140615_03:56,9488
20140615_03:57,8682
20140615_03:58,8686
20140615_03:59,8683
20140615_04:00,9525
20140615_04:01,11438
20140615_04:02,10649
20140615_04:03,9153
20140615_04:04,9279
20140615_04:05,9376
20140615_04:06,9084
20140615_04:07,9597
20140615_04:08,10564
20140615_04:09,9780
20140615_04:10,10951
20140615_04:11,10659
20140615_04:12,9251
20140615_04:13,10021
20140615_04:14,10541
20140615_04:15,10457
20140615_04:16,10242
20140615_04:17,10331
20140615_04:18,11002
20140615_04:19,10071
20140615_04:20,8518
20140615_04:21,11561
20140615_04:22,10470
20140615_04:23,9961
20140615_04:24,11279
20140615_04:25,9061
20140615_04:26,10260
20140615_04:27,11114
20140615_04:28,10003
20140615_04:29,9557
20140615_04:30,10353
20140615_04:31,10492
20140615_04:32,11084
20140615_04:33,10523
20140615_04:34,10060
20140615_04:35,9443
20140615_04:36,9770
20140615_04:37,9558
20140615_04:38,10228
20140615_04:39,9493
20140615_04:40,9291
20140615_04:41,9712
20140615_04:42,9116
20140615_04:43,8939
20140615_04:44,8322
20140615_04:45,8601
20140615_04:46,8492
20140615_04:47,8396
20140615_04:48,8346
20140615_04:49,8380
20140615_04:50,8131
20140615_04:51,8766
20140615_04:52,8275
20140615_04:53,8418
20140615_04:54,8356
20140615_04:55,8408
20140615_04:56,8563
20140615_04:57,8273
20140615_04:58,8365
20140615_04:59,8439
20140615_05:00,8439
20140615_05:01,9408
20140615_05:02,8514
20140615_05:03,8319
20140615_05:04,8412
20140615_05:05,8525
20140615_05:06,8895
20140615_05:07,8272
20140615_05:08,8469
20140615_05:09,8667
20140615_05:10,8355
20140615_05:11,9091
20140615_05:12,8384
20140615_05:13,8559
20140615_05:14,8556
20140615_05:15,8518
20140615_05:16,9230
20140615_05:17,8431
20140615_05:18,8645
20140615_05:19,8636
20140615_05:20,8953
20140615_05:21,9578
20140615_05:22,8482
20140615_05:23,8390
20140615_05:24,8445
20140615_05:25,8709
20140615_05:26,8638
20140615_05:27,8634
20140615_05:28,8829
20140615_05:29,8886
20140615_05:30,9493
20140615_05:31,9334
20140615_05:32,9099
20140615_05:33,8720
20140615_05:34,8853
20140615_05:35,8336
20140615_05:36,8795
20140615_05:37,8428
20140615_05:38,8509
20140615_05:39,8612
20140615_05:40,8634
20140615_05:41,8870
20140615_05:42,8686
20140615_05:43,8578
20140615_05:44,9060
20140615_05:45,9153
20140615_05:46,9473
20140615_05:47,8735
20140615_05:48,9158
20140615_05:49,9291
20140615_05:50,9128
20140615_05:51,9175
20140615_05:52,8476
20140615_05:53,8934
20140615_05:54,8840
20140615_05:55,8939
20140615_05:56,9417
20140615_05:57,8776
20140615_05:58,8681
20140615_05:59,9139
20140615_06:00,9831
20140615_06:01,10093
20140615_06:02,9118
20140615_06:03,8742
20140615_06:04,8463
20140615_06:05,8621
20140615_06:06,9255
20140615_06:07,8534
20140615_06:08,8795
20140615_06:09,8907
20140615_06:10,9003
20140615_06:11,9412
20140615_06:12,8999
20140615_06:13,9054
20140615_06:14,9292
20140615_06:15,9270
20140615_06:16,9722
20140615_06:17,8879
20140615_06:18,9074
20140615_06:19,9035
